word;averageAoA;SD;Min;Max;ItemZScore;OralFreq_Log; WrittenFreq_Subtlex-ESP_Log; WrittenFreq_LEXESP_Log;WrittenFreq_espal_Log;espal_max_lem_cat;max_lem_code;espal_es_num_syll
soportar;7.46;2.121;3;11;0.004;1.708;3.021;2.217;1.301;VERB;VMN0000;3
soporte;8.62;2.147;3;11;0.619;1.176;2.453;1.833;1.389;NOUN;NCMS000;3
sordo;5.06;1.754;2;8;-0.509;0.903;2.635;1.886;0.863;ADJECTIVE;AQ0MS0;2
soria;8.86;1.818;5;11;0.490;1.415;1.519;1.204;1.183;NOUN;NP00000;2
sorprender;6.38;2.049;2;11;-0.426;1.322;2.149;1.556;0.841;VERB;VMN0000;3
sorprendido;6.12;2.362;2;11;-0.567;1.785;2.814;2.064;1.206;ADJECTIVE;AQ0MSP;4
sorpresa;4.52;1.798;1;9;-1.022;2.210;3.569;2.565;1.586;NOUN;NCFS000;3
sorteo;6.92;1.748;3;11;-0.201;1.663;1.968;1.279;0.795;NOUN;NCMS000;3
sos;9.30;1.717;5;11;1.041;0.301;3.102;1.415;0.366;NOUN;NCMP000;1
sosiego;10.30;1.282;6;11;1.154;0.778;0.845;1.740;0.738;NOUN;NCMS000;3
soso;7.56;2.224;2;11;-0.057;0.778;1.477;0.778;0.230;ADJECTIVE;AQ0MS0;2
sospecha;8.60;1.948;4;11;0.584;1.633;2.716;2.127;1.261;VERB;VMIP3S0;3
sospechoso;7.78;1.909;4;11;0.044;1.176;3.292;1.785;0.967;ADJECTIVE;AQ0MS0;4
sotana;8.76;2.124;4;11;0.604;0.602;1.342;1.690;0.379;NOUN;NCFS000;3
sótano;6.88;2.096;3;11;-0.294;0.903;3.095;1.799;0.792;NOUN;NCMS000;3
soviética;9.96;1.511;5;11;1.901;2.104;2.241;1.929;1.508;NOUN;NP00000;4
soy;3.32;1.921;1;8;-1.246;3.245;4.893;2.992;2.129;VERB;VSIP1S0;1
spray;6.36;2.097;2;11;-0.487;;;0.954;0.169;NOUN;NCMS000;1
stop;6.62;2.415;2;11;-0.004;1.431;;0.954;0.683;NOUN;NP00000;1
su;4.20;2.129;1;11;-0.780;3.974;5.270;4.597;3.889;DETERMINER;DP3CS0;1
suave;4.64;2.275;1;10;-0.963;1.690;3.031;2.340;1.414;ADJECTIVE;AQ0CS0;2
suavidad;4.50;2.082;1;11;-1.002;0.602;1.857;1.708;0.817;NOUN;NCFS000;3
subasta;9.20;1.604;5;11;0.714;0.699;2.430;1.342;0.913;NOUN;NCFS000;3
