word;averageAoA;SD;Min;Max;ItemZScore;OralFreq_Log; WrittenFreq_Subtlex-ESP_Log; WrittenFreq_LEXESP_Log;WrittenFreq_espal_Log;espal_max_lem_cat;max_lem_code;espal_es_num_syll
a;2.28;1.443;1;6;-1.650;4.852;5.985;4.961;4.359;ADPOSITION;SPS00;1
abajo;2.96;1.370;1;6;-1.357;2.616;3.941;2.751;1.811;ADVERB;RG;3
abandonado;6.06;1.659;2;10;-0.584;1.623;2.872;2.196;1.374;ADJECTIVE;AQ0MSP;5
abandonar;7.58;1.655;4;11;-0.020;1.806;2.988;2.435;1.653;VERB;VMN0000;4
abandono;7.22;1.941;3;11;0.040;1.602;2.336;2.167;1.328;NOUN;NCMS000;4
abatimiento;10.02;1.491;5;11;1.056;0.602;0.954;1.279;0.463;NOUN;NCMS000;5
abdomen;8.64;2.087;3;11;0.491;1.301;2.204;1.505;0.713;NOUN;NCMS000;3
abecedario;4.86;1.498;2;9;-0.729;0.602;1.204;0.477;0.181;NOUN;NCMS000;5
abeja;4.30;1.810;1;9;-1.002;0.845;2.494;1.322;0.816;NOUN;NCFS000;3
abejas;4.02;1.732;1;8;-1.409;0.954;2.573;1.602;1.260;NOUN;NCFP000;3
abeto;7.66;2.429;2;11;0.205;;1.398;0.903;0.306;NOUN;NCMS000;3
abierta;4.14;1.927;1;9;-0.921;2.049;3.266;2.489;1.733;ADJECTIVE;AQ0FSP;3
abierto;3.24;1.238;1;6;-1.123;2.299;3.275;2.563;1.839;ADJECTIVE;AQ0MSP;3
abismo;9.30;1.644;5;11;0.825;1.255;2.230;1.968;1.156;NOUN;NCMS000;3
abnegación;10.80;0.612;8;11;1.402;0.602;1.000;1.380;0.563;NOUN;NCFS000;4
abogado;8.44;1.567;4;11;0.381;2.420;3.698;2.350;1.684;NOUN;NCMS000;4
abono;7.80;2.321;2;11;0.272;1.176;1.934;1.041;0.730;NOUN;NCMS000;3
aborrecimiento;9.96;1.538;4;11;0.954;0.301;;0.301;0.216;NOUN;NCMS000;6
aborto;9.68;1.708;4;11;0.788;1.591;2.512;1.756;0.992;NOUN;NCMS000;3
abrasador;9.14;1.927;4;11;0.630;0.301;1.230;0.699;0.215;ADJECTIVE;AQ0MS0;4
abrazo;2.86;1.552;1;6;-1.597;2.053;2.925;1.949;0.845;NOUN;NCMS000;3
abrigo;3.98;1.545;2;8;-1.204;1.591;3.023;2.130;1.066;NOUN;NCMS000;3
abril;4.86;1.539;2;11;-0.550;2.111;2.774;2.155;2.271;DATE;W;2
abrir;3.18;1.662;1;7;-1.537;2.173;3.427;2.441;1.700;VERB;VMN0000;2
abrumado;9.54;1.809;3;11;0.724;0.301;1.929;1.362;0.435;VERB;VMP00SM;4
absoluta;8.56;1.593;4;11;0.751;2.143;;2.515;1.680;ADJECTIVE;AQ0FS0;4
absolutamente;8.84;1.583;6;11;1.319;2.793;3.382;2.455;1.669;ADVERB;RG;6
absoluto;8.92;2.127;3;11;0.880;2.401;3.183;2.199;1.713;ADJECTIVE;AQ0MS0;4
absorción;8.76;2.429;3;11;0.562;0.845;1.398;1.681;0.978;NOUN;NCFS000;3
abstracción;10.52;1.403;2;11;1.162;0.903;1.000;1.491;0.925;NOUN;NCFS000;3
abstracto;9.28;1.691;5;11;0.859;1.176;1.806;1.491;0.932;ADJECTIVE;AQ0MS0;3
absurdo;8.26;1.998;4;11;0.280;1.716;2.811;2.265;1.234;ADJECTIVE;AQ0MS0;3
abuela;2.72;1.310;1;7;-1.548;2.212;3.644;2.598;1.276;NOUN;NCFS000;3
abuelo;2.32;1.285;1;7;-1.799;2.149;3.516;2.669;1.404;NOUN;NCMS000;3
abuelos;2.96;1.564;1;7;-1.454;1.785;2.549;1.881;0.917;NOUN;NCMP000;3
abundancia;7.84;2.014;3;11;0.090;1.079;2.053;1.863;1.277;NOUN;NCFS000;4
abundante;8.00;1.884;4;11;0.226;1.146;1.949;2.021;1.324;ADJECTIVE;AQ0CS0;4
aburrida;5.08;1.759;2;10;-0.597;1.204;2.793;1.568;0.471;ADJECTIVE;AQ0FSP;4
aburrido;4.82;2.067;1;10;-0.723;1.633;3.155;1.863;0.695;ADJECTIVE;AQ0MSP;4
aburrimiento;5.38;1.737;2;10;-0.692;0.845;2.246;1.968;0.640;NOUN;NCMS000;5
aburrir;5.28;1.970;2;10;-0.939;0.602;1.380;0.602;0.171;VERB;VMN0000;3
abuso;9.06;2.014;2;11;0.705;1.519;2.717;1.845;1.211;NOUN;NCMS000;3
acá;5.84;2.951;1;11;-0.245;2.170;3.912;1.845;1.393;ADVERB;RG;2
acaba;5.42;1.980;1;10;-0.222;2.644;3.783;2.712;1.766;VERB;VMIP3S0;3
acabado;5.40;1.761;2;9;-0.279;2.079;3.167;2.173;1.267;VERB;VMP00SM;4
acaban;5.58;1.513;3;10;-0.193;2.041;3.155;2.238;1.188;VERB;VMIP3P0;3
acabar;3.46;1.581;1;7;-1.360;2.270;3.251;2.489;1.692;VERB;VMN0000;3
acabo;5.46;2.022;2;10;-0.190;2.045;3.763;1.991;1.212;VERB;VMIP1S0;3
acabó;5.14;1.818;2;9;-0.326;2.161;3.700;2.455;1.613;VERB;VMIS3S0;3
academia;8.04;2.138;4;11;0.186;2.369;2.806;1.799;1.776;NOUN;NP00000;4
académico;9.18;2.067;5;11;0.903;1.477;2.199;1.613;1.269;ADJECTIVE;AQ0MS0;5
acampada;7.16;2.170;3;11;0.167;1.041;1.447;0.602;0.271;ADJECTIVE;AQ0FSP;4
acantilado;7.86;1.852;4;11;0.595;0.477;2.199;1.322;0.599;NOUN;NCMS000;5
acaso;7.64;2.220;3;11;0.781;2.064;3.479;2.698;1.681;ADVERB;RG;3
acceder;8.36;1.770;4;11;0.716;1.771;2.693;1.996;1.508;VERB;VMN0000;3
accesorio;8.76;1.836;4;11;0.879;;1.681;1.000;0.427;NOUN;NCMS000;4
accidente;6.50;1.972;3;11;-0.211;2.164;3.710;2.292;1.697;NOUN;NCMS000;4
acción;6.82;1.859;3;11;-0.127;2.493;3.517;2.854;2.289;NOUN;NCFS000;2
acciones;7.12;1.722;4;11;0.466;2.057;3.159;2.447;2.097;NOUN;NCFP000;3
acecho;9.06;2.304;2;11;0.606;0.602;1.833;1.613;0.666;NOUN;NCMS000;3
aceite;5.50;1.764;2;9;-0.624;1.924;2.882;2.107;1.422;NOUN;NCMS000;3
aceituna;4.42;2.041;2;11;-0.678;1.146;1.362;0.903;0.359;NOUN;NCFS000;4
acelgas;6.84;2.691;1;11;-0.090;0.699;;0.301;0.124;NOUN;NCFP000;3
acento;7.50;1.940;3;11;-0.054;1.613;2.735;2.086;1.255;NOUN;NCMS000;3
aceptación;8.68;2.199;2;11;0.702;1.380;2.079;1.987;1.345;NOUN;NCFS000;4
aceptar;6.56;1.740;3;10;-0.428;1.919;3.311;2.461;1.802;VERB;VMN0000;3
acercar;5.60;2.277;1;11;-0.755;1.301;2.124;1.556;0.934;VERB;VMN0000;3
acero;7.92;2.156;2;11;0.323;1.519;2.820;1.505;1.439;NOUN;NCMS000;3
ácido;7.78;2.550;3;11;0.586;1.146;2.628;2.072;1.307;ADJECTIVE;AQ0MS0;3
acierto;6.48;2.121;2;11;-0.352;1.477;1.792;1.914;1.061;NOUN;NCMS000;3
aclaración;8.86;1.852;4;11;0.870;1.398;1.342;1.204;0.733;NOUN;NCFS000;4
acogedor;8.06;1.800;5;11;0.170;0.602;2.111;1.146;0.293;ADJECTIVE;AQ0MS0;4
acompañada;6.00;2.167;2;11;-0.673;1.279;1.929;1.914;1.238;ADJECTIVE;AQ0FSP;5
acompañado;5.36;1.466;2;10;-0.353;1.839;2.255;2.124;1.522;ADJECTIVE;AQ0MSP;5
aconsejar;8.62;1.783;4;11;0.402;1.041;1.613;1.114;0.537;VERB;VMN0000;4
acontecimiento;9.20;1.773;4;11;0.675;1.690;2.199;2.068;1.293;NOUN;NCMS000;6
acordeón;6.78;2.243;3;11;0.082;0.477;1.653;1.041;0.542;NOUN;NCMS000;4
acordes;8.48;2.215;3;11;0.422;0.778;1.732;1.531;0.819;NOUN;NCMP000;3
acoso;10.10;1.313;5;11;1.020;1.279;2.522;1.708;0.962;NOUN;NCMS000;3
acostarse;3.96;1.916;1;10;-1.468;1.079;2.704;1.672;0.630;VERB;VMN0000;4
acre;10.64;0.827;7;11;1.228;0.301;1.544;1.000;0.637;NOUN;NP00000;2
actitud;8.42;1.991;3;11;0.711;2.238;3.064;2.679;1.866;NOUN;NCFS000;3
activación;9.54;1.644;5;11;1.149;;2.161;1.591;0.697;NOUN;NCFS000;4
activar;7.42;1.980;4;11;-0.082;0.778;2.441;1.114;0.725;VERB;VMN0000;3
actividad;5.50;1.644;2;9;-0.494;2.352;2.958;2.745;2.177;NOUN;NCFS000;4
actividades;5.56;1.680;2;10;-0.212;2.072;;2.467;2.120;NOUN;NCFP000;5
acto;8.16;1.952;4;11;0.610;2.258;3.203;2.640;2.023;NOUN;NCMS000;2
actor;6.44;1.842;2;10;-0.356;2.117;3.091;2.340;1.897;NOUN;NCMS000;2
actores;6.92;1.676;2;10;0.336;2.021;2.859;2.283;1.628;NOUN;NCMP000;3
actos;7.60;1.401;2;11;0.413;1.940;2.757;2.336;1.855;NOUN;NCMP000;2
actriz;6.56;1.864;4;11;0.118;2.064;2.893;2.004;1.793;NOUN;NCFS000;2
actuación;7.10;2.150;3;11;0.218;2.193;2.942;2.378;1.794;NOUN;NCFS000;3
actual;8.64;1.903;4;11;0.793;2.533;2.883;2.860;2.370;ADJECTIVE;AQ0CS0;2
actualidad;8.24;1.912;4;11;0.418;2.303;2.152;2.403;2.008;NOUN;NCFS000;4
actualmente;8.34;1.624;5;11;1.069;2.225;2.639;2.481;2.267;ADVERB;RG;4
actuar;6.40;1.829;3;10;-0.513;2.061;3.261;2.344;1.763;VERB;VMN0000;2
acuarela;5.72;2.186;1;11;-0.365;1.322;1.146;0.699;0.396;NOUN;NCFS000;4
acuario;6.52;1.930;2;11;-0.006;1.322;2.121;1.000;0.593;NOUN;NP00000;3
acuerdas;5.72;1.727;3;10;-0.055;2.152;3.193;1.778;0.527;VERB;VMIP2S0;3
acuerdo;7.70;2.003;3;11;0.444;3.207;4.641;3.034;2.619;NOUN;NCMS000;3
acurrucarse;5.56;2.500;2;11;-0.747;;1.322;0.602;0.044;VERB;VMN0000;5
acusación;8.36;2.220;3;11;0.400;1.613;2.622;1.898;1.296;NOUN;NCFS000;4
acústica;9.30;1.799;5;11;0.856;0.903;1.732;1.114;0.909;ADJECTIVE;AQ0FS0;4
adán;6.04;2.070;3;11;-0.197;1.204;3.197;1.623;1.081;NOUN;NP00000;2
adecuado;8.14;1.714;5;11;0.630;1.690;2.849;2.272;1.543;ADJECTIVE;AQ0MSP;4
adelante;5.62;1.958;1;11;-0.366;2.712;4.050;2.717;2.017;ADVERB;RG;4
adelgazar;7.82;2.229;3;11;0.517;1.176;1.813;1.415;0.203;VERB;VMN0000;4
ademán;10.18;1.662;3;11;0.957;0.602;0.845;1.833;0.805;NOUN;NCMS000;3
además;6.48;2.261;2;11;-0.029;3.445;3.885;3.254;2.750;ADVERB;RG;3
adhesión;10.16;1.376;5;11;1.122;1.079;0.699;1.699;1.646;NOUN;NCFS000;3
adhesiva;6.94;2.024;4;11;-0.079;0.301;2.107;0.602;0.172;ADJECTIVE;AQ0FS0;4
adicto;8.88;1.466;5;11;0.518;;2.793;1.301;0.449;NOUN;NCMS000;3
adinerado;8.44;2.130;3;11;0.309;0.301;1.672;0.477;0.178;ADJECTIVE;AQ0MSP;5
adiós;1.74;0.986;1;5;-1.696;2.507;4.175;2.149;1.290;INTERJECTION;I;2
adivinar;5.78;1.844;2;10;-0.700;1.398;3.018;1.903;0.826;VERB;VMN0000;4
adjetivo;8.08;1.614;3;11;0.442;1.230;1.519;1.613;0.761;NOUN;NCMS000;4
administración;9.76;1.585;5;11;1.051;2.462;2.822;2.561;2.134;NOUN;NP00000;5
admiración;8.52;2.043;3;11;0.518;1.591;2.100;2.152;1.330;NOUN;NCFS000;4
admirado;8.82;1.722;5;11;0.456;1.230;1.748;1.505;0.788;ADJECTIVE;AQ0MSP;4
admirar;8.02;1.835;4;11;0.239;0.954;2.017;1.462;0.883;VERB;VMN0000;3
adobado;9.14;2.010;4;11;0.778;0.477;;1.114;0.088;NOUN;NCMS000;4
adolescencia;8.80;1.457;6;11;0.441;1.176;2.041;2.196;0.982;NOUN;NCFS000;5
adolescente;8.52;1.752;4;11;0.743;1.342;2.944;2.358;1.113;ADJECTIVE;AQ0CS0;5
adorable;6.72;2.129;2;11;-0.372;0.477;3.069;1.322;0.417;ADJECTIVE;AQ0CS0;4
adoración;8.30;2.367;3;11;0.327;1.230;1.964;1.398;0.971;NOUN;NCFS000;4
adornar;5.58;1.896;3;10;-0.788;0.477;1.447;1.041;0.538;VERB;VMN0000;3
adorno;5.52;1.787;2;9;-0.496;1.000;1.996;1.602;0.902;NOUN;NCMS000;3
adosado;8.72;2.061;3;11;0.457;0.845;;1.079;0.434;ADJECTIVE;AQ0MSP;4
adquirir;8.44;2.052;3;11;0.371;1.505;2.127;2.076;1.399;VERB;VMN0000;3
adquisición;9.84;1.490;6;11;1.065;1.146;1.914;1.732;1.311;NOUN;NCFS000;4
adulto;6.54;2.206;3;11;-0.003;1.255;2.912;2.000;1.077;ADJECTIVE;AQ0MS0;3
adverbio;8.72;1.654;3;11;0.429;1.079;0.845;0.699;0.300;NOUN;NCMS000;3
advertencia;7.40;2.515;2;11;0.109;1.204;2.895;1.785;1.090;NOUN;NCFS000;4
aeroplano;8.66;2.182;3;11;0.647;0.301;1.255;0.301;0.340;NOUN;NCMS000;5
aeropuerto;6.44;2.830;2;11;-0.462;1.959;3.297;2.190;1.781;NOUN;NCMS000;5
afecta;8.04;1.969;4;11;0.955;2.045;2.784;2.134;1.582;VERB;VMIP3S0;3
afectar;7.98;2.171;3;11;0.156;1.544;2.364;1.724;1.176;VERB;VMN0000;3
afecto;8.56;2.242;3;11;0.763;1.740;2.568;2.049;1.208;NOUN;NCMS000;3
afeitar;6.76;2.066;4;11;-0.320;0.477;2.290;1.380;0.399;VERB;VMN0000;3
afianzar;10.10;1.529;4;11;1.012;0.602;0.602;1.041;0.542;VERB;VMN0000;3
afición;8.54;1.843;4;11;0.507;2.009;1.653;2.179;1.261;NOUN;NCFS000;3
afilada;6.20;2.416;2;11;-0.124;0.301;1.591;1.415;0.420;ADJECTIVE;AQ0FSP;4
afilado;6.40;2.531;3;11;-0.054;0.301;1.987;1.362;0.387;ADJECTIVE;AQ0MSP;4
afinidad;8.94;2.853;2;11;0.501;0.954;1.724;1.431;0.707;NOUN;NCFS000;4
afirmación;7.98;2.334;2;11;0.234;1.491;2.086;2.053;1.333;NOUN;NCFS000;4
aflicción;10.58;0.810;8;11;1.193;0.301;1.643;0.954;0.626;NOUN;NCFS000;3
afligido;10.04;1.484;5;11;0.959;0.477;1.748;0.477;0.460;ADJECTIVE;AQ0MSP;4
afortunadamente;8.86;1.552;5;11;1.337;2.223;2.631;2.041;1.075;ADVERB;RG;7
afortunado;7.90;2.033;3;11;0.107;1.301;2.985;1.519;0.733;ADJECTIVE;AQ0MSP;5
áfrica;7.80;2.030;1;11;0.263;2.017;2.097;0.602;1.664;NOUN;NP00000;3
agacharse;4.16;1.899;1;10;-1.341;0.301;1.447;0.778;0.151;VERB;VMN0000;4
agarrar;4.26;1.978;1;11;-1.115;0.954;2.833;1.544;0.755;VERB;VMN0000;3
agencia;8.82;1.746;5;11;0.496;1.813;3.160;2.238;1.760;NOUN;NCFS000;3
agenda;7.66;2.076;3;11;0.338;1.708;2.901;1.699;1.563;NOUN;NCFS000;3
ágil;7.68;2.123;3;11;0.407;1.114;1.851;1.568;0.800;ADJECTIVE;AQ0CS0;2
agilidad;8.02;1.932;3;11;0.401;1.204;1.477;1.531;0.782;NOUN;NCFS000;4
agitación;9.06;1.754;5;11;0.585;0.699;1.813;1.681;0.981;NOUN;NCFS000;4
aglomeración;10.54;1.110;6;11;1.144;0.903;;1.204;0.720;NOUN;NCFS000;5
agobiado;8.24;2.026;5;11;0.276;0.903;1.415;1.114;0.341;ADJECTIVE;AQ0MSP;4
agobio;9.36;1.914;5;11;1.066;1.176;0.954;1.431;0.242;NOUN;NCMS000;3
agonía;9.68;1.571;5;11;0.843;1.041;2.164;1.806;0.879;NOUN;NCFS000;4
agosto;4.78;1.298;2;7;-0.470;2.068;2.727;2.134;2.231;DATE;W;3
agotamiento;8.26;2.146;4;11;0.423;0.699;1.740;1.531;0.764;NOUN;NCMS000;5
agradable;7.48;1.961;4;11;0.209;1.991;3.442;2.155;1.345;ADJECTIVE;AQ0CS0;4
agradecer;5.54;2.012;2;10;-0.620;1.763;2.580;1.690;1.312;VERB;VMN0000;4
agradecido;7.12;2.144;2;11;0.048;1.322;2.726;1.643;0.969;ADJECTIVE;AQ0MSP;5
agradecimiento;7.40;2.507;2;11;0.118;1.505;2.549;1.556;1.338;NOUN;NCMS000;6
agrado;8.16;2.436;2;11;0.582;1.041;2.646;1.462;0.998;NOUN;NCMS000;3
agrario;8.86;1.917;5;11;0.957;0.903;0.699;1.041;0.828;ADJECTIVE;AQ0MS0;3
agresión;8.38;1.861;4;11;0.687;1.544;2.594;1.973;1.153;NOUN;NCFS000;3
agresiva;7.30;2.131;3;11;0.125;1.431;2.364;1.633;0.779;ADJECTIVE;AQ0FS0;4
agresividad;7.76;1.791;4;11;0.478;1.672;2.000;1.875;0.735;NOUN;NCFS000;5
agresivo;6.40;1.841;3;10;-0.495;1.462;2.525;1.690;0.807;ADJECTIVE;AQ0MS0;4
agricultor;6.80;2.010;3;11;0.092;0.301;1.342;1.176;0.754;NOUN;NCMS000;4
agricultura;6.96;2.050;2;11;-0.052;1.672;2.076;1.898;1.935;NOUN;NCFS000;5
agrio;7.06;2.606;2;11;0.173;;1.477;1.322;0.422;ADJECTIVE;AQ0MS0;2
agrónomo;10.66;0.872;7;11;1.347;0.477;0.699;0.602;0.316;NOUN;NCMS000;4
agrupación;8.58;2.081;2;11;0.534;1.041;1.362;1.380;1.266;NOUN;NCFS000;4
agua;1.94;1.150;1;6;-1.953;2.816;4.017;3.219;2.445;NOUN;NCFS000;2
aguanieve;9.04;2.330;3;11;0.567;0.477;0.602;0.602;0.043;NOUN;NCFS000;4
aguantar;6.14;2.030;2;10;-0.140;1.908;2.779;1.964;0.825;VERB;VMN0000;3
aguante;8.22;1.930;4;11;0.728;1.462;2.243;1.301;0.371;NOUN;NCMS000;3
aguardiente;9.84;1.670;5;11;0.921;0.903;1.613;1.633;0.719;NOUN;NCMS000;4
agudeza;9.78;1.433;6;11;0.994;0.301;1.176;1.362;0.623;NOUN;NCFS000;4
agudo;8.10;1.787;4;11;0.606;1.362;2.190;1.839;1.046;ADJECTIVE;AQ0MS0;3
aguijón;7.58;1.928;3;11;0.072;0.301;1.431;1.146;0.418;NOUN;NCMS000;3
águila;5.22;2.063;2;10;-0.842;0.845;2.272;1.653;1.361;NOUN;NCFS000;3
aguilar;9.30;2.013;3;11;1.561;2.025;1.462;0.778;1.143;NOUN;NP00000;3
aguja;4.68;1.801;1;10;-0.928;1.342;2.670;1.708;0.866;NOUN;NCFS000;3
agujero;4.34;2.066;1;10;-1.150;1.531;3.135;2.079;1.206;NOUN;NCMS000;4
agusto;7.58;2.500;3;11;0.403;0.301;;0.301;0.076;NOUN;NP00000;3
ahí;3.14;2.100;1;10;-1.181;3.728;4.631;3.117;1.955;ADVERB;RG;2
ahogarse;5.28;1.906;2;10;-0.884;0.301;1.851;1.000;0.250;VERB;VMN0000;4
ahora;4.48;2.178;1;11;-0.831;3.886;4.987;3.694;2.797;ADVERB;RG;3
ahorrar;7.12;2.246;2;11;-0.191;1.431;2.461;1.591;0.864;VERB;VMN0000;3
ahorro;7.98;2.478;2;11;0.225;1.623;1.982;2.025;1.322;NOUN;NCMS000;3
aire;4.38;1.978;1;11;-1.082;2.427;3.668;3.070;2.128;NOUN;NCMS000;2
ajedrez;6.98;1.985;3;11;-0.136;1.279;2.606;1.903;1.182;NOUN;NCMS000;3
ajo;4.82;1.837;1;10;-0.543;1.477;2.431;1.505;0.791;NOUN;NCMS000;2
al;4.26;2.456;1;11;-0.765;4.107;5.191;4.398;3.799;ADPOSITION;SPCMS;1
alacena;9.10;2.279;4;11;0.593;0.301;1.869;0.903;0.163;NOUN;NCFS000;4
aladino;6.42;2.822;2;11;-0.450;0.301;1.255;0.602;0.484;NOUN;NP00000;4
alambre;7.16;2.024;3;11;-0.211;0.903;2.201;1.431;0.648;NOUN;NCMS000;3
alarma;6.20;1.979;2;11;-0.144;1.672;3.086;2.086;1.128;NOUN;NCFS000;3
alas;3.62;1.398;1;8;-1.344;1.431;2.885;2.212;1.500;NOUN;NCFP000;2
alba;8.28;2.157;3;11;0.456;1.732;2.111;1.996;1.365;NOUN;NP00000;2
albañil;6.46;1.854;2;11;0.018;1.279;1.591;1.362;0.470;NOUN;NCMS000;3
albaricoque;6.50;2.533;3;11;-0.202;;1.204;0.477;0.120;NOUN;NCMS000;5
alberto;3.98;1.660;1;10;-1.412;2.143;2.158;1.505;1.773;NOUN;NP00000;3
albornoz;7.00;2.090;1;11;-0.194;0.778;0.699;0.477;0.405;NOUN;NP00000;3
alboroto;7.48;1.909;3;11;-0.046;0.699;2.403;1.462;0.665;NOUN;NCMS000;4
alborozo;10.66;0.872;7;11;1.247;;0.699;1.342;0.299;NOUN;NCMS000;4
álbum;6.40;1.959;2;11;-0.065;1.279;2.637;1.491;2.120;NOUN;NCMS000;2
alcachofa;8.16;2.103;4;11;0.361;0.301;1.568;0.699;0.123;NOUN;NCFS000;4
alcalde;8.02;1.846;5;11;0.641;2.272;3.216;2.442;1.806;NOUN;NCMS000;3
alcalina;9.34;2.026;5;11;0.992;;1.146;0.301;0.135;ADJECTIVE;AQ0FS0;4
alcantarilla;7.18;1.699;4;11;0.061;0.954;2.241;1.079;0.294;NOUN;NCFS000;5
alcanzar;6.64;2.431;1;11;-0.340;1.908;2.841;2.537;1.965;VERB;VMN0000;3
alcoba;8.82;2.585;3;11;0.516;1.279;1.806;1.924;0.790;NOUN;NCFS000;3
alcohol;7.30;2.452;2;11;-0.078;2.233;3.231;2.461;1.376;NOUN;NCMS000;3
alcohólica;9.52;1.607;5;11;0.987;0.699;2.217;1.146;0.525;ADJECTIVE;AQ0FS0;5
alcohólico;8.18;1.903;3;11;0.183;1.398;2.468;1.176;0.455;ADJECTIVE;AQ0MS0;5
alcornoque;8.70;2.206;3;11;0.421;;1.380;0.699;0.169;ADJECTIVE;AQ0CS0;4
alegrar;5.00;2.148;2;11;-0.997;0.845;1.792;0.954;0.422;VERB;VMN0000;3
alegre;4.84;1.931;1;9;-0.701;1.568;2.723;2.210;1.483;ADJECTIVE;AQ0CS0;3
alegría;4.30;2.082;1;11;-1.066;2.260;3.031;2.484;1.697;NOUN;NCFS000;4
alejar;6.48;2.384;1;11;-0.406;0.845;2.255;1.362;0.795;VERB;VMN0000;3
alemán;6.92;2.202;2;11;0.256;2.253;2.908;2.316;2.036;ADJECTIVE;AQ0MS0;3
alemania;6.98;2.075;1;11;-0.225;2.290;2.891;2.393;2.174;NOUN;NP00000;4
alergia;6.52;2.033;1;10;-0.009;0.477;2.307;1.230;0.340;NOUN;NCFS000;3
alérgica;7.70;2.279;3;11;0.365;;2.403;0.954;0.182;ADJECTIVE;AQ0FS0;4
alerta;7.02;2.254;3;11;0.185;1.255;3.083;1.826;1.225;NOUN;NCFS000;3
alférez;10.32;1.400;5;11;1.095;0.778;1.491;1.041;0.691;NOUN;NCCS000;3
alfiler;5.74;2.098;1;10;-0.527;1.079;1.708;1.362;0.452;NOUN;NCMS000;3
alfombra;4.02;1.720;1;9;-0.884;1.398;2.801;1.959;0.869;NOUN;NCFS000;3
algo;4.40;2.268;1;9;-0.681;3.482;5.052;3.619;2.630;PRONOUN;PI0CS000;2
algodón;5.14;1.750;2;10;-0.446;1.398;2.562;1.732;1.181;NOUN;NCMS000;3
alguien;5.94;1.823;3;10;-0.242;2.844;4.677;3.092;1.943;PRONOUN;PI0CS000;2
alguna;4.60;1.796;1;8;-0.527;3.228;4.275;3.176;2.357;DETERMINER;DI0FS0;3
algunas;5.26;1.946;1;10;-0.273;2.906;3.956;3.077;2.495;DETERMINER;DI0FP0;3
alguno;5.56;1.991;1;11;-0.137;2.435;3.336;2.631;1.860;DETERMINER;DI0MS0;3
algunos;5.40;1.604;2;9;-0.228;3.023;3.979;3.368;2.717;DETERMINER;DI0MP0;3
alianza;8.78;1.857;4;11;0.916;2.029;2.869;1.944;1.810;NOUN;NCFS000;3
alicante;8.28;2.110;4;11;0.962;2.049;0.903;1.491;1.442;NOUN;NP00000;4
alicate;7.70;2.082;3;11;0.048;;1.415;;0.054;NOUN;NCMS000;4
alicates;7.40;2.100;3;11;-0.021;0.301;1.255;0.778;0.053;NOUN;NCMP000;4
alimentar;5.10;2.178;1;9;-0.943;1.079;2.688;1.613;0.962;VERB;VMN0000;4
alimento;5.24;1.933;1;11;-0.850;1.568;2.535;2.124;1.345;NOUN;NCMS000;4
alimentos;4.88;2.027;2;10;-0.642;1.978;2.605;2.320;1.747;NOUN;NCMP000;4
alivio;8.02;1.953;4;11;0.427;1.079;2.779;2.045;1.075;NOUN;NCMS000;3
allá;4.10;1.832;1;9;-0.860;2.751;4.095;2.964;2.089;ADVERB;RG;2
allí;3.44;2.215;1;10;-1.499;3.422;4.422;3.350;2.516;ADVERB;RG;2
alma;7.16;2.316;2;11;-0.032;2.212;3.529;2.774;2.115;NOUN;NCFS000;2
almacén;7.30;2.426;1;11;0.044;1.380;2.808;1.869;1.018;NOUN;NCMS000;3
almeja;7.44;2.187;3;11;-0.076;0.778;1.940;0.602;0.275;NOUN;NCFS000;3
almendro;6.82;2.057;2;11;-0.219;0.477;;0.778;0.375;NOUN;NCMS000;3
almíbar;8.24;2.066;3;11;0.488;0.602;1.519;0.699;0.339;NOUN;NCMS000;3
almirante;9.00;2.060;4;11;0.569;0.778;2.598;1.792;1.221;NOUN;NCMS000;4
almodóvar;10.76;0.625;8;11;1.554;1.519;;1.322;0.866;NOUN;NP00000;4
almohada;4.70;2.063;2;11;-0.696;1.230;2.693;1.748;0.708;NOUN;NCFS000;4
almuerzo;3.94;1.963;1;9;-1.190;1.114;3.328;1.919;1.035;NOUN;NCMS000;3
alquiler;8.84;2.207;2;11;0.782;1.613;2.870;1.623;1.035;NOUN;NCMS000;3
alrededor;6.50;2.188;3;10;-0.022;2.346;3.579;2.364;2.113;ADPOSITION;SPS00;4
alta;3.68;1.544;1;8;-1.312;2.375;3.435;2.813;2.143;ADJECTIVE;AQ0FS0;2
alteración;9.12;2.096;4;11;0.611;1.204;1.892;1.690;0.980;NOUN;NCFS000;4
alterar;8.20;2.129;4;11;0.324;1.041;2.294;1.778;0.882;VERB;VMN0000;3
alterne;10.44;1.110;7;11;1.375;0.477;;0.778;0.251;NOUN;NCMS000;3
altitud;8.52;1.919;3;11;0.831;1.114;2.301;1.398;1.463;NOUN;NCFS000;3
alto;3.44;1.541;1;7;-1.343;2.540;3.849;2.962;2.310;ADJECTIVE;AQ0MS0;2
altruismo;10.72;0.834;6;11;1.382;0.602;1.204;0.954;0.334;NOUN;NCMS000;3
altura;5.26;1.700;2;9;-0.743;2.290;3.070;2.624;1.972;NOUN;NCFS000;3
alumbrar;6.88;2.057;3;11;-0.291;0.778;1.079;1.230;0.349;VERB;VMN0000;3
aluminio;7.82;2.154;3;11;0.123;1.041;2.318;1.857;0.938;NOUN;NCMS000;4
alumno;5.28;1.642;2;10;-0.545;1.792;2.525;1.792;1.247;NOUN;NCMS000;3
