Graph;Genre;Ngraph;Nphon;FRtlf1;FRbaud;FRSdest;VIMdest
pantalon;m;8;6;2846;34;5.559999943;6.630000114
pantin;m;6;4;259;2;2.039999962;5.110000134
papier;m;6;5;13545;188;6.199999809;6.590000153
papillon;m;8;6;1608;45;3.890000105;6.849999905
paquebot;m;8;5;778;15;2.220000029;5.940000057
paquet;m;6;4;4347;52;4.650000095;5.769999981
paradis;m;7;6;3399;32;3.809999943;4.710000038
parapluie;m;9;8;1025;11;4.909999847;6.769999981
parc;m;4;4;3318;48;4.889999866;6.179999828
parchemin;m;9;7;259;5;2.24000001;5.619999886
parent;m;6;4;10027;273;6.380000114;6.239999771
paresse;f;7;5;2110;8;4.909999847;3.950000048
parfum;m;6;5;4386;45;5.179999828;5.840000153
parleur;m;7;6;191;2;3.650000095;4.150000095
parloir;m;7;7;480;8;1.799999952;4.590000153
parole;f;6;5;29082;183;5.110000134;3.599999905
parquet;m;7;5;1259;26;2.450000048;4.5
parrain;m;7;4;446;5;4.440000057;4.980000019
participante;f;12;10;-1;17;4.559999943;4.170000076
partie;f;6;5;29193;532;5.269999981;3.970000029
partisane;f;9;8;-1;41;2.400000095;3.559999943
partition;f;9;8;493;4;2.25999999;3.829999924
passage;m;7;5;14154;145;4.300000191;4.349999905
passé;m;5;4;10525;118;5.159999847;3.069999933
passerelle;f;10;6;1021;18;3.00999999;5.480000019
passion;f;7;5;17098;85;4.119999886;4.340000153
pasteur;m;7;6;1808;37;2.819999933;5.099999905
patient;m;7;5;2246;47;5.260000229;5
patineuse;f;9;7;-1;10;4.369999886;6.409999847
pâtissier;m;9;7;344;1;3.269999981;5.96999979
patronne;f;8;6;1531;45;4.420000076;4.579999924
patte;f;5;3;4177;38;4.28000021;6.260000229
pauvreté;f;8;7;2378;25;4.880000114;4.53000021
pavé;m;4;4;2254;7;3.609999895;6.010000229
pays;m;4;3;28223;821;5.590000153;5.690000057
paysage;m;7;6;7334;41;4.230000019;5.980000019
paysanne;f;8;5;;49;2.660000086;4.739999771
peau;f;4;2;8951;118;5.440000057;6.369999886
péché;m;5;4;7028;17;3.75999999;3.190000057
pédale;f;6;5;229;9;4.489999771;6.71999979
peigne;m;6;3;608;7;5.659999847;6.789999962
peine;f;5;3;20803;329;5.28000021;3.99000001
peintre;m;7;5;6351;70;3.589999914;6.03000021
peinture;f;8;5;7330;118;4.21999979;6.400000095
pèlerin;m;7;5;1135;3;1.850000024;3.910000086
pendaison;f;9;6;46;1;2.279999971;5.949999809
pénitencier;m;11;9;187;6;2.99000001;5.71999979
pensée;f;6;4;55408;207;5.119999886;2.819999933
penseur;m;7;5;2067;11;3.660000086;4.110000134
pensionnat;m;10;7;395;5;3.130000114;4.909999847
pente;f;5;3;5220;49;4.570000172;5.909999847
pénurie;f;7;6;314;21;2.579999924;3.069999933
pépinière;f;9;8;255;2;2.089999914;4.420000076
perceuse;f;8;6;-1;0;2.569999933;5.900000095
père;m;4;3;50596;520;6.340000153;6.570000172
période;f;7;6;6836;208;5.269999981;3.200000048
permission;f;10;8;2365;16;4.960000038;3.230000019
personnage;m;10;8;11112;134;4.420000076;4.739999771
personnalité;f;12;11;4722;27;5.340000153;2.799999952
peuplier;m;8;7;1080;4;2.880000114;5.880000114
peur;f;4;3;27517;155;5.849999905;3.319999933
pharaon;m;7;5;225;3;1.730000019;5.599999905
pharmacie;f;9;7;480;7;5.210000038;6.440000057
pharmacien;m;10;8;718;5;4.170000076;6.010000229
pharmacienne;f;12;9;-1;5;3.079999924;5.570000172
phénomène;m;9;7;8449;140;4;2.460000038
philosophie;f;11;8;11971;86;4.440000057;2.50999999
photo;f;5;4;1561;59;5.320000172;6.320000172
photographe;v;11;8;489;19;4.489999771;5.980000019
phrase;f;6;4;17506;84;5.25;4.929999828
piano;m;5;5;3973;17;4.599999905;6.820000172
pièce;f;5;4;22569;267;5.139999866;5.760000229
pied;m;4;3;33290;372;5.659999847;6.78000021
pierre;f;6;4;18055;112;4.5;6.420000076
piéton;m;6;5;395;5;4.829999924;6.260000229
pigeon;m;6;4;1310;42;3.950000048;6.760000229
pigeonnier;m;10;7;182;10;2.130000114;4.920000076
pile;f;4;3;1667;19;4.090000153;5.739999771
pilier;m;6;5;1174;12;2.130000114;4.679999828
pilon;m;5;4;187;1;2.069999933;4.75
pionnière;f;8;7;-1;17;2.349999905;3.599999905
pipe;f;4;3;2658;9;3.180000067;6.639999866
piquet;m;6;4;553;5;2.50999999;5.800000191
piscine;f;7;5;365;9;5.670000076;6.880000114
pistolet;m;8;7;816;25;3.390000105;6.71999979
placard;m;7;6;1080;12;3.109999895;5.880000114
place;f;5;4;43313;426;5.5;3.890000105
plafond;m;7;5;2901;41;4.980000019;6.440000057
plage;f;5;4;2761;59;4.760000229;6.739999771
plaine;f;6;4;4709;30;2.930000067;5.380000114
plainte;f;7;5;3297;21;4.460000038;3.430000067
plaisir;m;7;6;29380;165;5.639999866;4.159999847
plan;m;4;3;17247;279;5.179999828;4.760000229
planche;f;7;4;2769;28;4.300000191;6.309999943
plancher;m;8;5;1786;33;5.590000153;6.389999866
planète;f;7;6;2029;26;4.289999962;6.400000095
plant;m;5;3;331;4;3.630000114;4.800000191
plante;f;6;4;4339;63;5.670000076;6.809999943
plat;m;4;3;5224;29;5.010000229;5.849999905
plateau;m;7;5;3850;35;3.950000048;5.670000076
pleurs;m;6;4;1225;6;4.210000038;5.190000057
plomb;m;5;3;1408;11;3.619999886;5.360000134
plombier;m;8;6;178;3;4.460000038;5.730000019
plongeuse;f;9;6;-1;0;3.24000001;5.670000076
pluie;f;5;4;8989;62;5.760000229;6.599999905
plume;v;5;4;5105;34;5.519999981;6.489999771
poche;f;5;3;8474;65;5.510000229;6.190000057
poêle;v;5;4;1918;8;5.239999771;6.730000019
poème;m;5;4;7619;13;3.849999905;5.070000172
poésie;f;6;5;10720;46;3.299999952;4.230000019
poète;m;5;4;14664;86;3.400000095;4.789999962
poignet;m;7;5;2420;23;4.869999886;6.610000134
poinçonneuse;f;12;8;-1;0;2.650000095;5.690000057
point;m;5;3;42568;556;5.400000095;5.989999771
poire;f;5;4;531;2;4.28000021;6.869999886
pois;m;4;3;672;2;4.980000019;6.710000038
poisson;m;7;5;3645;64;5.079999924;6.869999886
poivre;m;6;6;382;6;5.559999943;6.53000021
police;f;6;5;4990;163;5.639999866;6.610000134
policier;m;8;7;1378;94;5.610000134;6.409999847
polisseuse;f;10;7;-1;0;1.679999948;4.050000191
politicien;m;10;9;604;18;5.46999979;5.269999981
politique;v;9;7;24594;231;5.289999962;3.789999962
polonaise;f;9;7;399;5;2.460000038;4
poltronne;f;9;7;-1;1;1.389999986;2.819999933
pomme;f;5;3;3041;38;5.730000019;6.900000095
pommier;m;7;5;727;6;3.920000076;6.650000095
pompier;m;7;5;442;13;5.179999828;6.789999962
pont;m;4;2;6887;111;4.519999981;6.659999847
porc;m;4;3;825;11;3.779999971;6.679999828
porte;f;5;5;45802;349;6.119999886;6.849999905
portefeuille;m;12;8;1186;18;5.289999962;6.659999847
portemanteau;m;12;8;140;4;2.700000048;6.409999847
porteuse;f;8;6;-1;15;3.109999895;3.99000001
portier;m;7;6;578;9;2.700000048;5.690000057
portière;f;8;7;1220;10;2.660000086;5.199999809
portugais;m;9;7;433;6;3.089999914;4.210000038
position;f;8;7;9470;148;4.989999771;3.630000114
possession;f;10;7;4866;41;4.230000019;3.109999895
possibilité;f;11;10;7249;150;5.03000021;2.170000076
posture;f;7;6;557;9;3.690000057;4.630000114
potage;m;6;5;336;6;2.650000095;5.090000153
poteau;m;6;4;697;9;4.53000021;6.5
potion;f;6;5;229;2;2.210000038;5.079999924
pou;m;3;2;616;4;3.109999895;5.360000134
poubelle;f;8;5;319;3;5.550000191;6.769999981
pouce;m;5;3;1944;81;4.900000095;6.550000191
poudre;f;6;5;2029;27;4.119999886;5.860000134
poudreuse;f;9;6;106;0;2.75;4.070000172
poule;f;5;3;2182;15;3.980000019;6.639999866
poupée;f;6;4;1059;19;4.269999981;6.659999847
poussière;f;9;6;5590;46;5.010000229;5.800000191
prairie;f;7;5;2284;25;3.089999914;6.309999943
praticien;m;9;8;285;9;2.640000105;3.630000114
pratiquant;m;10;7;242;2;3.619999886;3.50999999
pratique;f;8;6;3854;82;5.090000153;2.930000067
précepteur;m;10;9;442;4;1.970000029;2.569999933
prêcheur;m;8;6;136;0;2.619999886;4.610000134
prédicateur;m;11;10;361;1;2.130000114;3.140000105
prédiction;f;10;9;416;8;3.900000095;2.730000019
préfet;m;6;5;1033;5;1.970000029;3.210000038
prénom;m;6;5;1123;12;4.940000057;4.989999771
présence;f;8;6;17025;239;4.78000021;3.400000095
présidente;f;10;8;59;27;4.360000134;5.050000191
prêtre;m;6;6;10031;153;3.940000057;6.309999943
preuve;f;6;4;8236;146;4.889999866;3.210000038
prévision;f;9;8;1939;34;4.070000172;2.809999943
printemps;m;9;5;5977;75;5.079999924;5.789999962
prise;f;5;4;4730;133;3.829999924;3.269999981
prison;f;6;5;5237;77;4.190000057;6.460000038
prisonnier;m;10;8;7002;36;4.039999962;6.159999847
prisonnière;f;11;9;-1;36;3.869999886;5.269999981
privilège;m;9;8;2382;39;4.079999924;2.529999971
prix;m;4;3;13396;330;5.71999979;5.230000019
problème;m;8;7;17366;519;5.989999771;3.279999971
productrice;f;11;10;-1;54;3.450000048;3.049999952
produit;m;7;6;2531;241;4.980000019;3.789999962
professeur;m;10;8;6653;202;6.400000095;6.159999847
profession;f;10;8;2110;56;4.909999847;3.839999914
professionnel;m;13;11;2207;14;5.650000095;3.710000038
profit;m;6;5;5373;84;4.960000038;4.070000172
profondeur;f;10;8;7896;55;4.389999866;4.690000057
programme;m;9;7;3769;266;5.519999981;4.550000191
progrès;m;7;6;7827;145;4.699999809;2.789999962
projecteur;m;10;9;472;17;4.21999979;5.900000095
projection;f;10;9;1063;27;3.349999905;3.650000095
projet;m;6;5;11061;181;5.320000172;3.799999952
promenade;f;9;7;5377;30;4.099999905;4.96999979
propos;m;6;5;13247;115;3.779999971;2.230000019
propreté;f;8;8;557;10;5.309999943;4.360000134
propriété;f;9;10;4764;97;4.650000095;4.710000038
propulseur;m;10;9;4;0;1.820000052;3.640000105
protection;f;10;9;2173;44;4.880000114;3.809999943
protestante;f;11;9;-1;9;3.220000029;3.099999905
provocation;f;11;10;633;5;3.710000038;2.980000019
prunelle;f;8;6;1599;5;2.25;4.179999828
puberté;f;7;7;365;7;3.75;4.369999886
public;m;6;6;14758;226;5.46999979;5.559999943
publicité;f;9;9;982;35;5.28000021;5.25
puissance;f;9;6;18212;178;4.650000095;3.309999943
puits;m;5;3;2373;26;3.339999914;6.460000038
pull;m;4;3;-1;1;2.519999981;4.869999886
punaise;f;7;5;323;5;3.230000019;5.730000019
pureté;f;6;5;3697;17;4.019999981;3.089999914
puritaine;f;9;7;-1;3;1.710000038;2.75999999
pyjama;m;6;6;467;12;5.239999771;6.710000038
quadrant;m;8;5;-1;0;3.690000057;5.760000229
quart;m;5;3;5909;59;4.630000114;4.300000191
quartier;m;8;6;8381;73;3.940000057;5.289999962
querelle;f;8;5;2765;19;3.289999962;4.570000172
questionnaire;m;13;9;161;8;4.849999905;6.050000191
queue;f;5;2;3024;25;4.570000172;6.53000021
rabbin;m;6;4;238;5;1.370000005;3.920000076
radiateur;m;9;8;178;18;2.960000038;6.159999847
radio;f;5;5;2390;139;6.199999809;6.880000114
radis;m;5;4;280;1;4.230000019;6.630000114
rage;f;4;3;3411;26;3.74000001;3.910000086
rail;m;4;3;710;9;2.799999952;5.739999771
raisin;m;6;4;1157;5;5.139999866;6.769999981
raison;f;6;4;48197;411;5.639999866;2.599999905
raisonnement;m;12;7;3216;18;4.489999771;2.670000076
rameau;m;6;4;;2;2.380000114;5.46999979
rameur;m;6;5;106;1;2.789999962;5.480000019
randonnée;f;9;6;251;9;3.299999952;4.369999886
rang;m;4;2;5177;74;4.460000038;4.659999847
rapidité;f;8;8;1484;29;4.840000153;3.410000086
rapport;m;7;5;21603;469;4.739999771;4.179999828
raquette;f;8;5;182;7;4.460000038;6.559999943
rat;m;3;2;2207;26;3.769999981;6.75
ravin;m;5;4;791;13;2.180000067;5.570000172
ravisseur;m;9;7;97;0;2.390000105;3.180000067
rayon;m;5;4;5875;59;4.019999981;5.989999771
réaction;f;8;7;5781;146;5.260000229;3.470000029
réalisateur;m;11;10;85;20;4.429999828;4.03000021
réalité;f;7;7;23232;204;4.860000134;2.579999924
récepteur;m;9;8;527;11;3.569999933;4.340000153
receveur;m;8;6;365;8;3.559999943;4.429999828
recherche;f;9;7;9644;310;5.289999962;3.799999952
récompense;f;10;7;1829;13;4.519999981;4.050000191
record;m;6;5;378;53;4.230000019;4.460000038
récréation;f;10;9;757;8;3.809999943;5.139999866
recrue;f;6;5;336;5;3.109999895;3.779999971
rectangle;m;9;8;557;3;4.210000038;6.699999809
recteur;m;7;6;387;15;2.200000048;3.140000105
rédacteur;m;9;8;497;22;3.75;3.680000067
réduction;f;9;8;1144;55;4.360000134;3.559999943
référence;f;9;7;1395;13;4.650000095;3.119999886
reflet;m;6;5;4684;34;3.910000086;4.610000134
réflexion;f;9;9;9925;76;4.25;3.180000067
refrain;m;7;5;846;3;4.199999809;4.210000038
réfrigérateur;m;13;12;34;4;5.090000153;6.75
refuge;m;6;5;2127;24;2.99000001;4.550000191
regard;m;6;5;39973;270;4.71999979;4.670000076
régime;m;6;5;6428;130;4.210000038;3.680000067
région;f;6;5;10499;244;5.230000019;4.360000134
regret;m;6;5;5517;36;4.239999771;2.869999886
régulateur;m;10;9;557;0;2.410000086;3.539999962
reine;f;5;3;5534;148;3.519999981;6.539999962
rejet;m;5;4;348;5;3.349999905;3.049999952
relais;m;6;4;314;9;3.019999981;4.210000038
relation;f;8;7;11461;164;5.130000114;3.200000048
relativité;f;10;10;433;14;2.829999924;1.870000005
relaxation;f;10;10;-1;0;4.260000229;4.190000057
religieuse;f;10;8;-1;50;3.920000076;6.349999905
religion;f;8;7;11239;131;5.010000229;3.589999914
remarque;f;8;6;2961;38;4.829999924;2.99000001
remède;m;6;5;2795;43;4.579999924;5.659999847
remise;f;6;5;799;15;3.460000038;4.78000021
remorqueur;m;10;8;178;5;2.329999924;5.539999962
renard;m;6;5;1327;10;3.420000076;6.710000038
rencontre;f;9;7;6530;73;5.170000076;4.360000134
repas;m;5;4;5671;62;5.809999943;6.150000095
réponse;f;7;5;11805;185;5.880000114;3.549999952
repos;m;5;4;7538;47;5.809999943;4.119999886
représentante;f;13;10;-1;90;4.53000021;4.139999866
représentation;f;14;12;5539;42;4.190000057;3.24000001
reproche;m;8;6;4615;16;3.769999981;3.059999943
résidente;f;9;7;-1;8;4.019999981;3.819999933
résine;f;6;5;404;32;2.309999943;4.650000095
résistance;f;10;8;8870;72;3.829999924;3.470000029
respect;m;7;5;6483;75;5.400000095;3.160000086
responsabilité;f;14;13;4390;112;5.659999847;3.279999971
restaurant;m;10;7;3195;50;6.420000076;6.610000134
reste;m;5;5;26266;143;5.480000019;2.74000001
résultat;m;8;7;9240;258;5.550000191;3.680000067
retard;m;6;5;4530;52;5.429999828;3.660000086
retentissement;m;14;9;761;1;2.25;2.589999914
rétine;f;6;5;433;2;3.180000067;5.119999886
retour;m;6;5;15064;130;4.980000019;3.549999952
retraite;f;8;6;4705;54;4.400000095;3.5
réunion;f;7;6;3356;86;5.199999809;4.619999886
réussite;f;8;6;2331;42;4.889999866;3.619999886
rêve;m;4;3;19893;112;5.889999866;4.300000191
revenu;m;6;5;1608;124;5.039999962;4.099999905
rêverie;f;7;5;4245;10;3.329999924;3.609999895
rêveuse;f;7;5;-1;3;4.400000095;3.940000057
révolution;f;10;9;9623;92;3.5;3.809999943
revue;f;5;4;5739;63;4.829999924;6.380000114
rhétoricien;m;11;9;55;0;1.389999986;2.180000067
richesse;f;8;5;5088;68;4.039999962;4.590000153
rideau;m;6;4;5862;51;5.119999886;6.639999866
rire;m;4;3;-1;;5.880000114;5.679999828
rivage;m;6;5;1403;15;2.49000001;5.340000153
rivière;f;7;6;3773;99;4.78000021;6.559999943
robinet;m;7;6;587;3;3.99000001;6.829999924
roche;f;5;3;1961;14;4.929999828;6.690000057
rocher;m;6;4;2918;30;3.700000048;6.429999828
roi;m;3;3;20565;122;3.589999914;6.28000021
rôle;m;4;3;12805;282;4.670000076;3.529999971
roman;m;5;4;11337;112;4.369999886;5.940000057
romancière;f;10;8;-1;33;3.25999999;3.910000086
rond;m;4;2;3722;12;4.880000114;6.199999809
roseau;m;6;4;1174;3;2.279999971;5.639999866
rosier;m;6;5;553;8;3.440000057;6.199999809
roue;f;4;2;2607;43;4.710000038;6.679999828
rouleau;m;7;4;684;32;4.260000229;5.840000153
roulette;f;8;5;238;12;3.970000029;5.690000057
roulotte;f;8;5;544;4;3.890000105;6.590000153
route;f;5;3;24011;197;5.889999866;6.730000019
royaume;m;7;6;4900;46;3.430000067;5.010000229
rubis;m;5;4;336;23;2.420000076;6.170000076
rue;f;3;2;33251;269;6.170000076;6.360000134
ruelle;f;6;4;1697;15;3.470000029;6.210000038
ruisseau;m;8;5;3020;13;4.039999962;6.639999866
rythme;m;6;5;5815;66;4.159999847;3.700000048
sable;m;5;5;6402;85;4.119999886;6.630000114
sabot;m;5;4;1910;9;2.74000001;6.320000172
sac;m;3;3;5951;64;6.090000153;6.690000057
sagesse;f;7;5;5700;32;3.650000095;3.019999981
saint;m;5;2;31052;32;4.010000229;4.409999847
sainte;f;6;3;-1;32;3.660000086;4.050000191
salade;f;6;5;965;6;5.579999924;6.619999886
salaire;m;7;5;1501;62;5.820000172;4.730000019
salaud;m;6;4;1476;5;3.349999905;4.199999809
saleté;f;6;5;965;1;4.940000057;5.260000229
salle;f;5;3;15396;252;5.099999905;6.179999828
salon;m;5;4;9623;87;5.769999981;6.360000134
salope;f;6;5;195;5;2.75999999;4.179999828
samedi;m;6;5;3573;48;6.369999886;4.079999924
sandale;f;7;5;374;4;4.170000076;6.360000134
sandwich;m;8;7;378;9;5.800000191;6.809999943
sang;m;4;2;17685;12;5.110000134;6.71999979
santé;f;5;4;6147;113;6.010000229;3.049999952
sapin;m;5;4;1531;10;4.650000095;6.849999905
satin;m;5;4;680;13;3.950000048;5.590000153
satisfaction;f;12;11;5139;58;4.510000229;3.470000029
saule;m;5;3;744;6;1.99000001;5.340000153
sauterelle;f;10;6;293;0;3.74000001;6.710000038
sauveteur;m;9;6;263;6;3.650000095;4.960000038
savant;m;6;4;7019;61;3.849999905;4.449999809
savon;m;5;4;850;14;6.050000191;6.610000134
saxophone;m;9;8;72;1;2.75;6.489999771
scalpel;m;7;7;106;3;2.440000057;5.699999809
sceau;m;5;2;587;6;3.690000057;5.800000191
scélérat;m;8;6;212;2;1.549999952;2.400000095
scène;f;5;3;13601;191;3.809999943;5
schéma;m;6;4;1616;31;3.5;4.210000038
science;f;7;4;15383;246;5.710000038;4.079999924
scoutisme;m;9;8;-1;0;2.210000038;4.619999886
sculpteur;m;9;7;1501;9;3.849999905;5.409999847
sculpture;f;9;7;1629;14;3.519999981;6.309999943
séance;f;6;4;2807;32;3.190000057;3.349999905
sécateur;m;8;7;140;0;1.49000001;4.03000021
sécheuse;f;8;5;;1;5.110000134;6.510000229
seconde;f;7;5;6126;102;5.679999828;3.75999999
secours;m;7;5;5007;42;4.190000057;4
secteur;m;7;6;1871;141;3.74000001;3.460000038
sécurité;f;8;8;3943;135;4.889999866;3.75999999
séductrice;f;10;9;-1;1;3.210000038;4.510000229
sel;m;3;3;2054;34;5.980000019;6.309999943
selle;f;5;3;795;11;2.920000076;5.980000019
semaine;f;7;5;15626;289;6.440000057;4.480000019
séminaire;m;9;7;1161;27;3.279999971;4.059999943
sénateur;m;8;7;595;11;3.670000076;4.090000153
sens;m;4;3;59024;72;4.989999771;2.960000038
sensation;f;9;7;9708;47;4.699999809;3.359999895
senteur;f;7;5;472;5;4.659999847;2.970000029
sentier;m;7;5;2654;22;3.460000038;5.860000134
sentiment;m;9;6;34519;161;5.46999979;2.859999895
sergent;m;7;5;2016;11;3.279999971;5.260000229
série;f;5;4;5007;144;4.25;3.349999905
serin;m;5;4;229;0;2.190000057;4.980000019
serrure;f;7;5;1425;8;3.779999971;6.510000229
servante;f;8;6;-1;18;4.28000021;5.860000134
service;m;7;6;15366;439;5.320000172;3.390000105
serviette;f;9;7;2195;23;5.730000019;6.570000172
serviteur;m;9;8;2293;22;3.539999962;5.300000191
