Appendix F. Spanish base and complex words semantically transparent;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Complex word;;;;;;;;Semantic;Complex word;;;;;;;;Semantic
Base word;AoA;Imag;Fr;L;P;S;N;MFS;MFS;Semantically;AoA;Imag;Fr;L;P;S;N;distance;Semantically;AoA;Imag;Fr;L;P;S;N;distance
;;;;;;;;Inf.;Sem.R;Transparent;;;;;;;;;Opaque;;;;;;;;
pintar (to paint);1.6;7.2;2.7;6;6;2;9;12;12;pintor (painter);2.9;6.7;2.5;6;6;2;2;7.5;pintoresco (picturesque);5.8;3.7;1.6;10;10;4;1;5.6
piña (pineapple);2.7;7.9;2.2;4;4;2;16;8;8;piñón (pine nut);4.8;5.8;0.8;5;5;2;9;4.6;piñata (pot full of sweets);2.3;6.6;2;6;6;3;2;3.8
plano (plain);3.8;7;2.7;5;5;2;9;18;18;planear (to plan);4.4;4.5;2.5;7;7;3;4;4.7;planeta (planet);3;6.8;3.6;7;7;3;1;3
poner (to put);2.4;5.9;3.7;5;5;2;1;32;32;ponente (speaker);6;3.4;0.6;7;7;3;1;4.7;poniente (west wind);5.3;3.8;0;8;8;3;0;4.1
pretender (too pretend);5.3;4.7;2.3;9;9;3;0;18;5;pretendiente (suitor);5.3;5.4;1.4;12;12;4;1;7.1;pretencioso (pretencious);6.4;2.8;1.9;11;11;4;2;5.7
proceder (to act);5.5;4.3;2.5;8;8;3;1;17;5;procedencia (origin);5.2;3.8;1.6;11;11;4;1;7.3;procesión (procession);4.1;6.5;1.6;9;9;3;2;3.8
proveer (to supply);6;4.4;2.1;7;7;3;0;31;12;provisión (supply);5.9;4.6;1.7;9;9;3;2;6.5;provisional (provisional);5.1;2.7;2;11;11;4;0;4.1
rama (branch);3;7.7;2.4;4;4;2;24;25;6;ramaje (branches);6.6;4.3;0;6;6;3;0;6;ramal (branch);5.5;3.2;1.5;5;5;2;6;3.6
rata (rat);2.5;7.8;3;4;4;2;30;9;9;ratón (mouse);1.9;7;2.8;5;5;2;10;7.2;ratero (thief);5.2;4.9;1.2;6;6;3;11;4.9
receta (recipe);3.7;6.8;2.8;6;6;3;3;7;5;recetar (to prescribe);4.2;5.5;1.4;7;7;3;7;7.4;receptor (receiver);5.4;4.9;2.4;8;8;3;1;3
recibir (to receive);3.5;6;3.3;7;7;3;0;17;17;recibo (receipt);4.4;6.1;2.9;6;6;3;2;6.5;recibidor (hall);4.7;5.1;1.5;9;9;4;0;6.4
recolectar (to harvest);4.8;5.8;1.9;10;10;4;1;11;5;recolección (harvest);5.2;5;1.8;11;11;4;0;7.4;recoleto (secluded);6.3;2;0;8;8;4;1;3.9
regir (to rule);6.1;4.1;1;5;5;2;6;18;9;registro (registry);5.3;4.7;3.1;8;8;3;0;3.8;regimiento (regiment);5.9;5.3;2.3;10;10;4;0;7.2
réplica (reply);5.8;4.6;1.3;7;7;3;0;8;8; replicar (to reply);5.5;4.7;1.3;8;8;3;0;7.4;repliegue (withdrawal);6;4.3;0.7;9;8;3;0;2.8
rodar (to roll);3.3;5.9;2.4;5;5;2;13;27;15;rodadura (rolling);5.6;3.3;0;8;8;4;5;7.6;rodilla (knee);1.9;6.9;2.8;7;6;3;3;2.7
salir (to go out);2.2;6.2;4.2;5;5;2;5;10;10;salida (exit);2.7;6.2;3.5;6;6;3;9;4.8;salerosa (charming);4.9;3.4;0;8;8;4;2;2.8
saltar (to jump);1.9;7.1;3;6;6;2;8;24;24;saltarín (fidgety);3.1;5.9;1.7;8;8;3;1;7.3;saltear (to saute);4.9;5.3;1.3;7;7;3;4;4.7
salud (health);3.4;5.5;3.5;5;5;2;1;1;1;saludable (healthy);4.3;5.1;2.8;9;9;4;0;7.5;saludo (greeting);2.1;6.6;2.5;6;6;3;4;3.4
sátira (satire);6.7;4;1.5;6;6;3;1;16;8;satírico (satirical);6.6;3.4;1;8;8;4;1;6.6;saturado (saturated);5.5;4.7;1.4;8;8;4;1;2.3
senado (senate);6.3;5.6;2.6;6;6;3;7;6;4;senador (senator);6.2;5.1;3.2;7;7;3;8;7.5;senil (senile);6.3;3.9;1.9;5;5;2;2;2.6
sólido (solid);4.6;6.6;2.5;6;6;3;4;8;8;solidificar (to solidify);6;4.5;0.8;11;11;5;0;7.3;solidario (caring);4.1;5.1;1.4;9;9;4;2;2.7
soltero (single);4.8;6;2.9;7;7;3;3;4;2;soltería (celibacy);5.3;5;1.2;8;8;4;1;7.4;solitario (lonely);4;5.6;2.9;9;9;4;2;4.7
sorteo (raffle);4.3;6.3;2;6;6;3;1;14;4;sortear (to raffle);4.5;5.2;1.4;7;7;3;3;7.4;sortija (ring);4.8;6.5;1.9;7;7;3;0;2.9
sugerir (to suggest);5.4;4.9;2.3;7;7;3;0;8;8;sugerencia (suggestion);5.4;4.3;2.6;10;10;4;0;7.5;sugestión (sugestion);6.3;3;1.7;9;9;3;0;5.3
suponer (to suppose);5.3;4.7;2.5;7;7;3;0;10;8;suposición (supposition);5.7;3.9;2.4;10;10;4;0;7.5;supositorio (suppository);3;6.8;0.9;11;11;5;0;2.6
tenaz (stubborn);6.1;4.3;1.8;5;5;2;0;25;6;tenacidad (tenacity);6.5;3.5;1.2;9;9;4;0;7.6;tenaza (pliers);4.3;6.5;1.1;6;6;3;2;3.7
tender (to hang out);3.8;6.3;1.7;6;6;2;7;26;14;tendido (hung out);4.9;5.1;2.2;7;7;3;4;6.6;tendero (shopkeeper);4.3;6.3;1.4;7;7;3;3;5.6
tentar (to tempt);5.6;5.1;1.5;6;6;2;8;17;17;tentativa (attempt);6.4;3.9;1.7;9;9;4;1;7;tentáculo (tentacle);4;6.6;1.6;9;9;4;0;3.1
testigo (witness);5.4;5.8;3.3;7;7;3;0;12;7;testificar (to testify0;5.8;4.9;2.5;10;10;4;1;7.3;testamento (will);4.9;6;2.8;10;10;4;0;4
tiempo (time);3.1;5.7;4.7;6;6;2;0;10;10;temporal (temporal);4.5;4.6;2.9;8;8;3;1;6.7;temporero (seasonal);6.2;3.3;0;9;9;4;1;3.1
tierra (earth);2.3;7.3;3.9;6;5;2;5;38;38;terreno (land);3.8;6.4;2.9;7;6;3;6;6.6;terraza (terrace);2.9;6.8;2.3;7;6;3;6;3.7
tocar (to touch);2.1;6.5;3.4;5;5;2;9;13;13;tocable (touchable);4.3;4.7;0;7;7;3;0;7;tocador (boudoir);3.7;6.8;2.1;7;7;3;6;4.1
torcer (to twist);3.6;6.4;1.4;6;6;2;1;22;22;torcedura (sprain);4.2;5.7;1.3;9;9;4;2;7.2;tortura (torture);4.5;5.4;2.8;7;7;3;2;3.5
tormento (torment);5;4.8;1.8;8;8;3;2;11;6;tormentoso (stormy);4.4;5.3;1.2;10;10;4;2;6.6;tormenta (storm);2.6;6.6;3.2;8;8;3;1;4.4
travieso (mischievous);3.3;5.8;2.2;8;8;3;1;10;5;travesura (mischief);3.3;5;2;9;9;4;1;7.7;travesaño (crosspiece0;6.1;2.9;1;9;9;4;1;2.4
universo (universe);4.4;6.4;3.1;8;8;4;1;4;2;universal (universal);4.6;4.7;2.4;9;9;4;0;6.9;universidad (university);4.7;6.5;3.7;11;11;5;0;3
verdad (truth);2.6;4.7;4.7;6;6;2;1;15;2;verídico (truthful);6;4;1.3;8;8;4;1;7.5;veredicto (veredict);5.5;4.1;2.6;9;9;4;0;5.7
vértebra (vertebra);5.2;7.6;1.6;8;8;3;0;3;2;vertebral (vertebral);4.8;5;1.8;9;9;3;1;7.6;vértigo (vertigo);4.8;4.1;2;7;7;3;1;3
vetusto (ancient);6.9;1.8;0;7;7;3;2;1;1;veterano (veteran);5.7;5.2;2.3;8;8;4;1;2.6;veterinario (vet);3;6.5;2.4;11;11;5;1;2.2
vida (life);3.1;5.3;4.7;4;4;2;11;16;8;vitalidad (vitality);5.6;4.7;1.6;9;9;4;0;7.2;vitamina (vitamin);3.6;3.8;1.9;8;8;4;0;3.4
vista (view);3;5.8;3.6;5;5;2;7;47;47;visión (vision);4.2;5.2;3.2;6;6;2;5;7.6;visera (cap);4.5;5.6;1.4;6;6;3;8;4.2
vivir (to live);2.9;5.5;3.9;5;5;2;2;19;19;vivero (nursery);5.4;5.3;1.6;6;6;3;2;4.8;víveres (provisions);5.4;5.1;1.8;7;7;3;0;4.5
vocear (to shout out);5.9;5.3;0;6;6;3;5;15;3;vociferar (to shout);6.5;4.1;0.5;9;9;4;0;5.8;vocación (vocation);5.6;3.1;2.2;8;8;3;3;2.6
volar (to fly);2.3;6.6;3.4;5;5;2;10;24;24;volador (flying);3.3;5.8;2.2;7;7;3;5;7.4;volátil (volatile);6.4;3.1;1.7;7;7;3;0;5.4
;;;;;;;;;;;;;;;;;;;;;;;;;;;
