Appendix F. Spanish base and complex words semantically transparent;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Complex word;;;;;;;;Semantic;Complex word;;;;;;;;Semantic
Base word;AoA;Imag;Fr;L;P;S;N;MFS;MFS;Semantically;AoA;Imag;Fr;L;P;S;N;distance;Semantically;AoA;Imag;Fr;L;P;S;N;distance
;;;;;;;;Inf.;Sem.R;Transparent;;;;;;;;;Opaque;;;;;;;;
cascar (to crack);4.8;5.5;0.8;6;6;2;7;15;15;cascarón (eggshell);3.5;6.4;1.6;8;8;3;1;5.7;casco (helmet);2.8;6.8;2.8;5;5;2;13;3.3
castrar (to castrate);5.6;5.5;1.2;7;7;2;2;9;9;castrado (castrated);5.6;5.2;1.8;8;8;3;0;7.4; casto (chaste);5.6;3.6;1;5;5;2;16;4.5
cierto (certain);4;4.7;4.3;6;6;2;5;14;14;certeza (certainty);5.4;3.1;2.7;7;7;3;3;7.2;certificado (certificate);5.1;5.4;2.6;11;11;5;1;5.1
círculo (circle);2;7.9;1.7;7;7;3;0;8;3;circunferencia (circumference);4.7;6.4;1.5;14;14;5;0;6.9;circo (circus);2.2;6.8;2.8;5;5;2;10;3.9
clausurar (to conclude);5.7;4.6;1.4;9;9;3;2;2;2;clausura (enclosure);5.6;4;1.5;8;8;3;1;7.3;cláusula (clause);5.8;3.9;2.1;8;8;3;0;5
clavar (to nail);3.3;6.6;2;6;6;2;3;12;6;clavija (plug);5.3;6;1.3;7;7;3;0;5.4;clave (key);4.1;5;3.2;5;5;2;4;3.6
competir (to compete);3.5;5.7;2.7;8;8;3;2;4;4;competición (competition);3.9;5.6;2.2;11;11;4;0;7.6;competente (competent);5.2;3.8;2;10;10;4;0;6.2
complicar (to complete);4;5.2;1.9;9;9;3;0;2;2;complejo (complex);4.7;3.8;2.9;8;8;3;3;6.4;cómplice (accomplice);4.4;4.2;2.7;8;8;3;0;3.4
componer (to compose);4.4;5.5;2.1;8;8;3;0;46;15;componente (component);4.5;3.9;2.3;10;10;4;0;6.8;compositor (composer);4.3;5.3;2.1;10;10;4;1;7.5
común (common);3.9;4.8;3.5;5;5;2;0;11;11;comunitario (community);4.9;3.8;2.4;11;11;5;1;6.6;comunista (comunist);6.1;4.4;2.5;9;9;4;0;4
concurrir (to attend);5.7;4.6;1.1;9;8;3;0;33;3;concurrencia (audience);6.1;3.2;1.5;12;11;4;0;6.1;concurso (competition);3.2;5.9;3;8;8;3;0;3.2
conducir (to drive);2.9;7.3;3.3;8;8;3;1;21;12;conductor (driver);2.9;6.6;3;9;9;3;0;7.5;conducto (pipe);4.7;5.4;2.3;8;8;3;2;4.2
confiar (to trust);3.9;4.9;3.5;7;7;2;0;17;6;confidencia (confidence);4.9;4;1.5;11;11;4;0;6.7;confidencial (confidential);5.3;3.8;2.7;12;12;4;0;5.5
convenir (to agree);5.4;4.3;1;8;8;3;1;29;8;convenio (agreement);6.4;3.6;2.6;8;8;3;2;6.2;convento (convent);4.1;6.4;2.3;8;8;3;3;2.6
corazón (heart);2;7.9;4;7;7;3;0;11;8; corazonada (hunch);5.4;3.5;2.3;10;10;5;0;6.6;coraje (courage);4.7;3.4;2.8;6;6;3;0;3.4
corpóreo (corporeal);6.4;4.1;1;8;8;4;1;29;7;corporal (physical);4.5;4.8;2.5;8;8;3;0;6.2;corporativo (coroporate);6;2.6;2.1;11;11;5;0;4.1
cortejar (to woo);6.1;5.2;1.5;8;8;3;0;13;4;cortejo (courtship);5.9;5;1.8;7;7;3;3;7.3;cortesana (courtesan);6;4.5;1.4;9;9;4;1;4
crear (to create);3.1;5.3;3.2;5;5;2;6;9;9;creador (creator);3.9;4.2;2.4;7;7;3;2;7.4;creativo (creative);4.2;4.6;2.4;8;8;4;1;7.5
credo (creed);4.8;3.8;1.8;5;5;2;3;13;13;crédulo (credulous);6.2;3.6;1.2;7;7;3;1;4.8;crédito (credit);5.3;4.6;3.3;7;7;3;0;2.7
creer (to believe);2.9;4.5;4;5;5;2;1;13;13;creencia (belief);4.2;3.9;2.4;8;8;3;0;7.3;creído (conceited);4;4.6;2.6;6;6;3;1;6.1
cuerno (horn);2.6;7.8;2.4;6;6;2;5;30;30;cornudo (cuckold);5.4;5.7;1.8;7;7;3;5;7.1;corneta (bugle);4.3;6.2;1.4;7;7;3;5;4.6
culebra (snake);3.1;7.5;1.5;7;7;3;1;11;11;culebrear (to wriggle);6.1;2.4;0;9;9;4;0;5;culebrón (soap opera);4.5;5.6;1.1;8;8;3;0;3.8
cultura (culture);4.4;5.2;2.9;7;7;3;2;27;13;culto (educated);5.1;4.4;2.5;5;5;2;5;5.4;cultivar (to grow);3.7;6.1;2.1;8;8;3;0;4
decoración (decoration);3.9;6;2.3;10;10;4;1;7;2;decorador (decorator);4.6;5.6;1.7;9;9;4;1;7.5;decoro (decencyI;5.2;3;1.6;6;6;3;1;4.5
dedicar (to dedicate);4;5.1;2;7;7;3;1;6;6;dedicación (dedication);5.1;4;2.2;10;10;4;1;7.3;dedicatoria (dedication);4;5.3;1.6;11;11;5;1;7.4
déficit (deficit);6.3;4.2;1.9;7;7;3;0;2;2;deficitario (in deficit);6.4;2.4;0;11;11;5;1;6.9;deficiente (deficient);4.9;3.6;1.6;10;10;4;0;6.5
deporte (sport);2.8;6.6;2.8;7;7;3;1;27;8;deportista (sportsman);3.2;6.5;2;10;10;4;1;7.6;deportar (to deport);6.1;3.3;1.3;8;8;3;2;2.6
desierto (desert);3.2;7.8;3.1;8;8;3;1;5;5;desértico (desertedi);4.9;6;1;9;9;4;1;7.4;desertor (deserter);6.1;3.3;1.8;8;8;3;1;3.4
día (day);2.1;6.7;4.6;3;3;2;12;12;11;diario (diary);3.3;6.1;3.3;6;6;2;2;6.9;diana (diana);3.8;6.6;2.9;5;5;2;2;2.4
