Spanish;Translation (British English);Semantic category;Domain;AoA;AoA_SD;Fam;Fam_SD;Man;Man_SD;Tip;Tip_SD;%_Total_36;LF_Log;LF_EsPal;LF_CREA;LF_Cuetos et al. (2012);Word_length;Syllabes;Subjects (n)
Patinete            ;Scooter;Vehicles;Non-Living Things;3.26;1.18;3.14;1.12;2.84;1.38;2.39;1.00;0.11;11.78;1.56;26;1.26;8;4;38
Piragua             ;Canoe;Vehicles;Non-Living Things;4.65;1.30;2.63;1.25;4.13;1.06;2.18;0.94;0.06;11.81;2.29;88;0;7;3;38
Planeador           ;Glider;Vehicles;Non-Living Things;5.69;1.34;1.96;1.31;2.38;1.48;2.18;1.21;0.03;10.99;2.31;21;1.15;9;3;38
Reactor             ;Jet plane;Vehicles;Non-Living Things;5.94;1.32;2.40;1.15;2.83;1.39;2.32;1.12;0.03;13.23;3.48;488;1.88;7;3;38
Remolque            ;Trailer;Vehicles;Non-Living Things;4.48;1.23;3.04;1.16;2.70;1.63;2.83;1.17;0.03;13.76;2.84;342;0.48;8;3;38
Sidecar             ;Sidecar;Vehicles;Non-Living Things;5.47;1.27;2.46;1.10;2.41;1.42;2.29;1.10;0.03;11.86;1.6;37;4.3;7;3;38
Silla de ruedas     ;Wheelchair;Vehicles;Non-Living Things;4.34;1.37;2.82;1.25;4.28;1.11;1.94;1.11;0.03;12.51;0;674;0;13;5;38
Submarino           ;Submarine;Vehicles;Non-Living Things;3.97;1.35;3.05;1.15;2.99;1.41;2.63;1.23;0.03;13.57;3.34;837;2.12;9;4;38
Tanque              ;Tank;Vehicles;Non-Living Things;3.98;1.29;2.82;1.36;3.46;1.43;2.70;1.05;0.03;13.85;3.4;838;2.62;6;2;38
Tartana             ;Light carriage;Vehicles;Non-Living Things;5.19;2.14;1.94;1.43;2.41;1.52;1.74;1.34;0.03;#ZAHL!;2.04;77;0;7;3;35
Taxi                ;Taxi;Vehicles;Non-Living Things;3.46;1.26;4.17;1.01;3.74;1.32;4.32;0.72;0.06;14.80;3.34;2699;1.23;4;2;38
Tractor             ;Tractor;Vehicles;Non-Living Things;3.15;1.34;3.46;1.14;3.28;1.53;3.87;1.12;0.22;13.82;2.61;284;1.48;7;2;38
Tráiler             ;Trailer;Vehicles;Non-Living Things;5.29;1.51;3.07;1.13;3.18;1.54;3.51;1.07;0.14;15.22;1.93;42;1.32;7;2;38
Tranvía             ;Trolley;Vehicles;Non-Living Things;4.29;1.40;2.95;1.47;2.86;1.40;3.46;1.17;0.08;13.47;3.25;935;1.15;7;3;38
Trasatlántico       ;Ocean liner;Vehicles;Non-Living Things;5.29;1.40;2.69;1.42;2.03;1.49;2.53;1.04;0.03;10.75;2.28;81;2.21;13;5;38
Tren                ;Train;Vehicles;Non-Living Things;2.37;0.78;4.43;1.09;2.71;1.46;4.53;0.69;0.47;15.42;4.09;6379;0.48;4;1;38
Triciclo            ;Tricycle;Vehicles;Non-Living Things;2.37;1.34;3.35;1.14;3.57;1.21;2.80;1.23;0.28;11.78;2.15;82;0.6;8;3;38
Trillo              ;Threshing board;Vehicles;Non-Living Things;3.55;2.98;1.39;1.62;2.13;1.93;1.16;1.05;0.03;12.38;3.17;27;1.32;6;2;27
Trineo              ;Sled;Vehicles;Non-Living Things;3.39;1.39;2.32;1.09;2.38;1.38;1.98;1.07;0.03;13.19;2.74;77;1.11;6;3;38
Turismo             ;Private car / Car;Vehicles;Non-Living Things;4.38;1.85;4.40;0.74;3.92;1.36;3.88;1.34;0.03;16.74;4.26;5245;2.29;7;3;38
Velero              ;Sailboat;Vehicles;Non-Living Things;4.81;1.49;2.61;1.28;3.77;1.24;2.60;1.07;0.03;13.47;2.75;320;1.2;6;3;38
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
