Word;Sens précis;N;AoA.Moy;AoA.Min;AoA.Max;AoA.ET;CertAge.Moy;CertAge.Min;CertAge.Max;CertAge.ET;FamConcept.Moy;FamConcept.Min;Max;FamConcept.ET
déluge;;24;8.00;5;12;1.94;0.54;-1;3;1.29;2.46;-3;3;1.26
dense ;compact;23;9.83;5;14;2.24;-0.09;-3;2;1.67;2.48;-2;3;1.10
dent ;dentition;20;3.55;2;7;1.36;1.00;-1;3;1.30;2.85;1;3;0.48
dès ;préposition;26;6.46;3;11;1.99;0.12;-3;2;1.53;2.96;2;3;0.19
despote;;15;12.47;7;16;2.45;0.60;-2;3;1.58;1.87;-3;3;1.86
deuil;;27;9.63;4;16;2.71;0.00;-3;3;1.72;2.56;-2;3;1.20
dia ;interjection;17;17.88;5;28;7.23;0.94;-3;3;2.18;-1.18;-3;3;2.41
dieu;;22;5.00;2;9;1.95;1.00;-3;3;1.65;2.68;-1;3;0.87
doigt ;anatomie;23;3.61;1;7;1.37;1.39;-2;3;1.13;2.91;2;3;0.28
doit ;devoir;24;4.88;2;8;1.62;0.13;-3;2;1.67;2.92;2;3;0.28
drague ;chalut, ramassage;27;13.63;8;24;4.15;0.33;-3;3;1.63;1.30;-3;3;2.12
drague ;séduction;26;11.23;5;16;2.74;1.04;-3;3;1.74;2.62;-1;3;0.88
drain;;24;14.21;7;20;3.42;0.71;-3;3;1.84;1.92;-3;3;1.75
drap;;16;4.44;2;8;1.54;1.06;-1;3;1.34;2.81;2;3;0.39
Dreux ;ville Fr.;20;14.95;8;23;4.20;-0.35;-3;3;1.68;1.25;-3;3;2.26
drogue;;22;11.00;6;15;2.56;0.41;-3;3;1.70;2.95;2;3;0.21
dû ;devoir;17;9.76;4;15;3.62;0.29;-3;3;2.19;2.12;-1;3;1.53
duc ;hibou;18;10.39;6;16;2.83;0.00;-2;3;1.45;1.33;-3;3;2.16
duc ;souverain;22;8.55;3;14;2.41;0.77;-2;3;1.56;2.14;-3;3;1.60
eau;;20;3.15;2;7;1.35;1.20;-2;3;1.33;2.95;2;3;0.22
efface ;effacer;22;5.00;3;7;1.17;1.18;-1;3;1.34;2.91;2;3;0.29
elle ;pronom pers.;18;3.72;2;7;1.33;0.67;-3;3;1.80;2.78;1;3;0.53
ère ;période;23;9.91;7;14;2.17;0.57;-2;3;1.44;2.09;-1;3;1.38
erg ;désert;22;17.86;9;28;5.01;1.45;-1;3;1.53;0.09;-3;3;2.70
ermite;;24;10.83;6;16;2.95;0.13;-3;3;1.74;2.42;-3;3;1.29
erre ;errer;23;10.39;5;15;2.84;-0.17;-2;2;1.63;2.09;-2;3;1.47
ès ;en matière de;22;15.14;8;20;4.10;0.82;-3;3;1.92;2.00;-2;3;1.73
esse ;crochet;18;14.56;6;21;4.56;0.22;-3;3;1.84;0.56;-3;3;2.24
est ;être;21;3.95;2;8;1.84;0.48;-3;3;1.79;3.00;3;3;0.00
est ;orient;19;8.00;5;11;1.56;0.42;-2;3;1.53;2.58;-1;3;1.04
et ;conjonction;19;3.89;2;7;1.71;0.95;-3;3;1.88;3.00;3;3;0.00
eu ;avoir;17;6.24;2;8;1.93;0.24;-3;2;1.52;2.82;2;3;0.38
Eure ;rivière;23;14.83;8;25;4.58;0.09;-3;3;2.04;0.22;-3;3;2.43
eusse ;avoir;19;10.05;8;14;1.99;0.11;-3;2;1.59;1.95;-2;3;1.39
Ève ;mythologie;20;7.50;5;14;2.73;0.65;-3;3;1.68;2.15;-2;3;1.42
fa ;musique;23;7.26;4;11;2.11;0.91;-3;3;1.84;2.65;-2;3;1.05
face ;côté;19;6.58;3;12;2.03;-0.16;-3;2;1.63;2.84;1;3;0.49
face ;visage;21;7.71;3;12;2.58;0.19;-3;2;1.62;2.52;-3;3;1.33
faire ;action;14;3.43;2;7;1.55;1.14;-1;2;0.99;3.00;3;3;0.00
fait ;résultante action;24;9.17;4;15;3.48;-0.29;-3;3;1.67;2.83;1;3;0.47
fanfare;;19;6.58;3;13;2.62;0.63;-3;3;1.81;2.58;1;3;0.67
faon ;animal;20;6.80;4;12;1.60;0.55;-2;3;1.66;2.00;-3;3;1.87
fard ;cosmétique;22;11.64;6;18;3.11;0.27;-2;3;1.68;2.09;-2;3;1.62
fard ;rougir;19;12.00;7;17;2.62;-0.16;-3;2;1.53;2.37;-3;3;1.42
fart ;ski;16;14.63;6;28;5.98;0.69;-3;3;2.26;1.00;-3;3;2.60
fatigue;;20;4.20;2;7;1.44;0.35;-2;3;1.71;2.95;2;3;0.22
faux ;erroné;21;4.76;2;9;1.74;1.00;-1;3;1.27;2.90;1;3;0.43
faux ;lame;22;8.27;4;13;3.11;0.55;-2;2;1.53;2.23;-3;3;1.35
faux ;trompeur, frauduleux;27;7.41;3;14;2.68;0.11;-3;2;1.75;2.81;1;3;0.47
fée ;surnaturel;18;4.44;2;9;1.57;0.50;-3;3;1.67;2.61;-2;3;1.16
femme;;17;4.00;2;8;1.64;0.47;-2;3;1.46;3.00;3;3;0.00
fémur ;os;19;10.89;5;15;3.01;0.47;-3;3;1.73;2.68;-1;3;0.92
fer ;cheval;27;6.59;3;12;2.13;0.22;-2;3;1.64;2.59;-2;3;1.19
fer ;métal;18;7.06;4;15;2.72;0.39;-3;3;1.70;2.56;-1;3;1.01
fer ;repassage;15;5.87;2;11;2.39;0.20;-2;3;1.51;2.60;-2;3;1.25
fermage;;25;14.20;5;25;3.95;0.12;-3;3;1.53;0.48;-3;3;1.96
ferme ;agriculture;27;4.37;2;7;1.22;0.96;-2;3;1.55;2.52;-3;3;1.37
ferme ;résistance;20;10.10;3;15;3.05;0.05;-3;3;1.83;2.70;-1;3;0.95
fermier;;26;5.08;3;9;1.64;0.54;-3;3;1.74;2.62;-1;3;0.88
feu ;combustion;22;4.73;2;11;2.53;0.59;-3;3;1.61;2.77;1;3;0.52
feu ;défunt;26;12.77;5;23;3.33;0.38;-3;3;1.90;1.96;-3;3;1.79
feu ;sensation;13;8.31;3;14;3.02;0.54;-2;3;1.69;2.62;1;3;0.62
feu ;signalisation;23;7.22;3;12;2.41;0.17;-3;3;1.81;2.61;-1;3;1.13
feuille ;papier;16;4.06;2;6;1.39;1.00;-1;3;1.27;3.00;3;3;0.00
feuille ;végétal;18;4.33;2;7;1.67;0.17;-3;3;1.64;2.78;1;3;0.53
fève ;figurine;15;6.00;3;12;2.22;0.47;-3;2;1.71;2.40;-1;3;1.08
fève ;légumineuse;12;11.42;4;20;4.87;1.17;-2;3;1.52;2.42;-1;3;1.19
fiasco;;17;11.41;7;18;3.01;-0.18;-3;2;1.72;2.47;-1;3;1.04
fils ;descendant;20;5.35;1;10;2.17;0.15;-3;3;1.77;2.95;2;3;0.22
flamme ;ardeur;28;11.14;4;16;3.23;-0.07;-2;3;1.62;2.50;-2;3;1.05
flamme ;feu;19;5.21;1;9;1.76;0.68;-3;3;1.72;2.79;1;3;0.52
flammèche ;feu;20;13.85;4;25;5.82;0.45;-2;3;1.50;1.30;-3;3;1.98
flan ;dessert;26;5.42;1;11;2.32;0.42;-2;2;1.45;2.54;-1;3;1.08
flanc ;côté;17;10.12;6;17;3.03;0.18;-2;2;1.29;2.29;-1;3;1.18
flemmard ;paresseux;16;8.50;5;14;2.40;-0.44;-3;2;1.50;2.56;-1;3;1.06
flemme ;paresse;25;9.28;4;16;2.95;0.20;-3;3;1.67;2.60;-1;3;1.13
fleur ;louanges;18;10.17;8;14;1.83;-0.06;-2;3;1.51;2.67;-2;3;1.15
fleur ;végétal;23;3.83;2;8;1.49;1.13;-2;3;1.26;2.83;-1;3;0.82
fleurette ;séduction;27;12.89;7;18;3.07;0.70;-3;3;1.56;1.63;-3;3;1.83
 fleurette ;végétal;20;10.95;6;21;4.73;-0.50;-3;3;1.80;1.15;-3;3;2.37
flot;;22;7.68;3;12;2.74;0.09;-3;2;1.59;2.45;-1;3;0.94
flux;;24;11.04;7;18;2.76;-0.25;-3;3;1.61;2.46;-2;3;1.29
foin ;fourrage;27;5.89;3;10;1.89;0.89;-2;2;1.20;2.59;-2;3;1.03
foin ;scandale;19;12.26;7;18;3.01;-0.47;-3;3;1.73;2.00;-3;3;1.72
for ;conscience;22;12.50;7;19;3.35;-0.45;-3;3;1.44;2.00;-3;3;1.51
force ;puissance;25;5.20;2;8;1.52;-0.16;-3;2;1.89;2.52;-2;3;1.10
forceps;;25;14.16;7;25;4.59;0.00;-3;3;1.92;1.76;-3;3;1.90
forme;;17;5.65;3;9;1.71;0.24;-2;3;1.66;2.94;2;3;0.24
formule;;17;8.65;5;12;2.03;0.53;-2;3;1.61;2.94;2;3;0.24
fort ;château;26;7.23;4;13;2.22;0.58;-3;3;1.80;2.38;-3;3;1.50
fort ;puissant;19;4.42;1;10;2.18;1.21;-1;3;1.28;2.79;1;3;0.61
fou ;folie;15;5.93;3;10;1.91;0.13;-2;3;1.45;2.80;1;3;0.54
fou ;oiseau;17;16.82;7;31;7.33;0.18;-3;3;2.04;0.12;-3;3;2.59
four;;23;4.78;2;9;1.74;0.39;-2;3;1.41;2.78;1;3;0.59
fourmi;;22;4.05;2;7;1.33;1.09;-1;3;1.12;2.68;-1;3;0.92
frac ;fam.: accident;19;21.47;8;31;6.06;1.32;-3;3;2.34;-2.37;-3;3;1.38
fracas;;22;9.23;4;15;3.06;0.27;-3;2;1.45;2.45;-2;3;1.30
franc ;monnaie;19;5.21;2;8;1.54;1.05;-2;3;1.32;3.00;3;3;0.00
franc ;peuplade;21;10.29;6;15;2.90;0.05;-3;3;1.81;1.24;-3;3;2.09
franc ;sincérité;21;8.90;4;15;3.28;-0.05;-3;3;1.65;2.62;-1;3;1.00
fraude;;21;11.48;7;15;2.48;0.52;-3;3;1.62;2.14;-3;3;1.64
froid ;température;16;3.38;1;6;1.27;1.50;-2;3;1.12;3.00;3;3;0.00
fromage;;20;4.60;2;8;1.46;0.90;-2;3;1.51;2.80;1;3;0.51
fronde ;arme;31;9.00;3;16;3.30;0.45;-2;3;1.70;1.77;-3;3;1.72
fronde ;fougère;22;15.91;3;28;7.66;-0.05;-3;3;2.08;-0.18;-3;3;2.41
front ;limite avant;26;10.69;7;14;2.51;0.19;-3;2;1.75;2.42;-2;3;1.25
front ;tête;19;4.21;2;8;1.44;0.95;-2;3;1.39;2.84;1;3;0.49
froussard;;20;8.20;4;13;2.60;0.85;-2;3;1.46;2.35;-2;3;1.24
frousse;;22;7.77;2;13;2.57;0.14;-3;2;1.71;2.64;-1;3;0.93
fruit ;aliment;21;3.90;2;7;1.38;1.38;-1;3;0.95;3.00;3;3;0.00
fruit ;résultat;28;9.50;4;16;3.57;0.21;-3;3;1.72;2.71;1;3;0.59
fuse ;fuser;22;11.14;7;16;2.88;-0.55;-3;2;1.67;1.91;-3;3;1.73
fusil ;arme;15;6.67;4;10;1.40;-0.33;-3;2;1.49;2.27;-1;3;1.34
fusil ;pierre d'affûtage;18;12.22;5;25;4.88;0.56;-2;3;1.46;1.00;-3;3;2.19
fût ;tonneau;19;9.79;5;14;2.37;-0.21;-3;2;1.79;2.00;-2;3;1.69
fût ;tronc;23;12.22;5;17;3.28;-0.52;-3;3;2.00;1.61;-3;3;1.93
gai ;gaieté;21;6.52;3;10;2.13;-0.48;-3;2;1.59;2.67;1;3;0.64
gaine ;étui;20;10.40;5;16;2.96;0.35;-2;2;1.49;2.15;-1;3;1.01
gaine ;sous-vêtement;19;10.58;6;16;3.22;0.47;-2;3;1.46;2.16;-2;3;1.39
gale ;maladie;20;10.70;4;20;3.99;0.25;-2;3;1.84;1.55;-3;3;2.04
galle ;excroissance;19;14.32;6;26;4.75;-0.16;-3;3;2.01;0.26;-3;3;2.38
gamme ;assemblage;25;12.12;6;18;3.08;-0.84;-3;2;1.74;2.08;-2;3;1.62
gamme ;musique;23;8.65;4;14;2.48;1.04;-3;3;1.85;2.04;-2;3;1.49
gara ;garer;19;9.00;5;13;1.97;-0.11;-3;3;1.65;2.47;1;3;0.75
garage ;abri;29;5.48;3;10;1.77;1.03;-2;3;1.52;2.86;1;3;0.51
garage ;garagiste;22;5.91;2;12;2.47;0.27;-3;2;1.57;2.86;1;3;0.46
gare ;avertissement;17;6.12;2;10;2.72;0.35;-3;2;1.71;2.00;-3;3;1.78
gare ;transports;19;5.84;3;9;1.78;0.79;-2;3;1.54;2.84;1;3;0.49
gargouille;;14;10.50;5;16;3.02;1.29;-1;3;1.10;1.71;-3;3;2.05
gars ;gaillard;20;7.80;5;14;2.54;0.65;-3;3;1.77;2.75;1;3;0.54
gay ;homosexuel;17;15.94;10;25;4.07;0.88;-1;3;1.49;2.47;-1;3;1.09
geai ;oiseau;21;9.90;5;19;3.65;-0.05;-3;3;1.76;1.71;-3;3;1.86
genre ;catégorie;17;8.35;5;12;2.00;0.29;-2;2;1.40;2.65;1;3;0.59
gens ;personnes;14;5.71;3;9;1.87;-0.29;-3;3;1.94;2.86;2;3;0.35
gent ;espèce;21;11.76;5;19;3.70;0.81;-2;3;1.71;2.14;-3;3;1.64
geste;;21;6.38;3;10;1.56;0.14;-2;2;1.46;2.76;1;3;0.61
gestion;;18;12.78;7;18;2.82;-0.78;-3;2;1.40;2.44;-2;3;1.21
glas ;sonnerie;15;11.80;7;17;2.93;0.00;-3;2;1.59;1.33;-3;3;2.18
globe ;sphère;18;8.11;6;12;1.82;-0.28;-2;2;1.56;2.78;1;3;0.53
globule;;29;11.21;6;15;2.41;0.41;-3;3;1.77;2.52;-2;3;1.04
gnon ;coup;18;8.61;5;14;2.38;0.00;-3;3;1.83;2.00;-3;3;1.76
gnou ;animal;23;11.74;6;17;3.54;0.09;-3;3;1.69;1.52;-3;3;2.18
gomme ;correcteur;19;5.26;3;7;1.29;0.42;-2;3;1.73;2.79;1;3;0.52
gomme ;substance;21;9.71;4;16;4.08;0.52;-2;3;1.40;2.48;-1;3;0.96
goût ;penchant;28;9.07;3;16;3.16;0.04;-3;2;1.61;2.50;-3;3;1.18
goût ;saveur;25;5.52;3;10;1.70;0.20;-3;3;1.79;2.96;2;3;0.20
goût ;sens;25;5.64;2;9;1.83;0.64;-3;3;1.62;2.72;-1;3;0.87
goutte ;liquide;23;4.91;1;9;1.95;0.52;-2;2;1.28;2.65;1;3;0.70
goutte ;maladie;20;13.45;8;20;3.40;1.00;-3;3;1.82;1.60;-3;3;1.85
grain ;graine;21;5.81;3;8;1.53;0.19;-3;3;1.76;2.62;-1;3;0.90
grain ;météo;16;10.94;7;16;3.11;0.19;-3;3;1.81;1.69;-3;3;1.89
grand ;hauteur;18;3.50;1;6;1.42;1.39;-3;3;1.60;3.00;3;3;0.00
grange;;17;7.12;4;12;2.89;0.41;-2;3;1.54;2.71;-2;3;1.18
granit;;18;9.83;5;16;2.75;0.72;-2;3;1.59;2.17;-3;3;1.61
gras ;épais;19;6.74;4;10;1.77;0.26;-3;2;1.62;2.84;1;3;0.49
gras ;huileux;20;4.85;3;8;1.35;0.45;-2;2;1.24;2.85;1;3;0.48
gré ;consentement;20;10.95;6;15;2.84;0.10;-2;2;1.58;2.85;1;3;0.48
grenat ;couleur;19;9.37;5;15;3.50;0.37;-3;3;1.72;2.21;-3;3;1.58
grenat ;pierre fine;18;12.17;6;20;4.51;0.06;-3;3;1.75;1.72;-3;3;1.85
grès ;roche;18;11.67;5;16;3.27;0.50;-3;2;1.54;2.06;-3;3;2.01
gris ;couleur;25;4.16;1;7;1.51;1.00;-1;3;1.36;2.80;1;3;0.49
groin;;19;6.74;2;11;2.20;-0.05;-3;2;1.64;2.37;-3;3;1.38
gros ;dimension;22;3.36;1;8;1.61;0.68;-3;3;1.63;2.95;2;3;0.21
gué ;passage;17;10.76;5;17;3.52;-0.24;-3;2;1.77;1.88;-3;3;1.74
guère ;peu;20;9.45;2;15;3.38;0.30;-2;3;1.58;2.65;1;3;0.57
guerre ;lutte;20;5.60;4;10;1.50;0.30;-3;3;1.73;2.85;1;3;0.48
guet ;guetteur;20;9.15;4;13;2.52;-0.15;-3;2;1.74;2.15;-1;3;1.24
gueule;;23;6.91;4;11;1.95;-0.17;-3;2;1.58;2.65;-1;3;0.91
gui;;19;7.47;3;12;2.44;0.63;-3;2;1.56;2.58;1;3;0.75
guitare;;16;6.75;4;10;2.02;0.75;-2;2;1.39;2.44;-2;3;1.27
guitoune;;18;18.33;10;27;5.26;0.83;-3;3;2.17;-0.78;-3;3;2.30
hache;;18;6.72;4;14;2.47;0.28;-3;3;1.85;2.61;-2;3;1.16
hagard ;bouleversé;14;12.14;8;16;2.50;0.07;-3;3;1.79;1.71;-1;3;1.75
haie ;rangée;26;7.38;2;13;2.77;0.38;-2;2;1.50;2.31;-3;3;1.54
haine;;13;8.54;7;12;1.69;-0.38;-2;2;1.33;2.77;1;3;0.58
hâle ;teint;25;11.88;8;16;2.45;-0.32;-3;3;1.89;2.28;-3;3;1.54
halle ;salle;17;11.47;8;15;2.23;-0.18;-3;2;1.69;2.41;-2;3;1.29
hampe;;20;13.50;6;19;3.77;-0.15;-3;2;1.68;0.50;-3;3;2.38
hanche ;articulation;20;7.60;3;12;2.80;0.05;-3;2;1.75;2.50;-1;3;1.02
hante ;obsession;20;11.10;7;16;2.96;0.40;-3;3;1.71;2.30;-1;3;1.05
happe ;saisir;18;10.06;4;15;2.88;-0.72;-3;2;1.48;2.17;-3;3;1.61
harpe ;instrument;21;8.90;5;14;2.31;-0.10;-3;3;1.57;2.10;-3;3;1.77
hâte ;empressement;24;9.33;5;14;2.13;-0.08;-3;2;1.47;2.71;1;3;0.54
héros;;19;6.37;4;10;1.69;0.47;-3;3;1.70;2.84;1;3;0.49
heure ;durée;17;5.76;3;8;1.48;0.00;-3;2;1.41;3.00;3;3;0.00
heurt ;choc;17;11.18;5;17;3.42;0.06;-2;2;1.43;2.24;-2;3;1.48
hic ;difficulté;17;10.59;5;15;2.83;-0.35;-3;2;2.03;2.18;-2;3;1.20
hic ;point crucial;11;11.64;8;16;2.53;-0.27;-2;2;1.42;2.55;1;3;0.78
hier;;17;4.65;2;7;1.49;0.59;-3;3;1.85;2.65;-3;3;1.41
hisse ;élévation;15;8.53;4;15;3.16;-0.27;-2;3;1.69;2.27;-2;3;1.34
hommage;;20;9.90;6;14;2.32;-0.35;-3;2;1.68;2.65;1;3;0.65
hommage ;honorer;20;9.95;7;15;2.50;-0.50;-3;3;1.47;2.50;-1;3;1.02
homme;;18;3.83;1;6;1.30;0.50;-3;2;1.54;3.00;3;3;0.00
honte;;22;6.91;4;13;1.86;0.36;-3;2;1.43;2.77;1;3;0.52
hop;;20;4.85;2;10;2.26;-0.30;-3;2;1.95;2.40;-2;3;1.24
hotte ;panier;25;5.40;3;11;2.24;1.04;-3;3;1.48;2.52;-1;3;1.14
houille ;combustible;23;11.00;4;16;2.98;0.26;-3;3;1.70;2.09;-3;3;1.69
houppe ;huppe;24;11.58;5;21;5.27;0.54;-3;3;1.63;0.54;-3;3;2.38
housse ;enveloppe;17;7.47;3;11;2.35;-0.24;-2;2;1.35;2.76;-1;3;0.94
housse ;protection;13;9.54;6;14;2.87;0.08;-3;3;1.64;2.69;1;3;0.72
houx ;végétal;17;7.24;3;10;1.90;0.59;-3;3;1.68;2.18;-3;3;1.50
huée ;cri;14;10.64;8;15;2.58;-0.07;-3;2;1.87;1.57;-3;3;1.80
huile ;peinture;17;9.47;5;14;2.25;-0.18;-3;2;1.62;2.59;-2;3;1.19
huile ;substance;23;5.74;2;9;1.85;0.13;-3;3;1.87;2.91;2;3;0.28
huit ;8;23;4.43;3;6;0.92;1.43;-1;3;1.31;2.91;2;3;0.28
hume ;flairer;26;10.27;5;16;2.64;-0.46;-3;3;1.65;2.23;-1;3;1.15
Hyères ;ville;15;14.20;6;25;5.05;0.93;-3;3;1.98;1.67;-3;3;2.12
il ;je tu il;23;3.87;1;8;1.57;0.87;-2;3;1.42;2.83;-1;3;0.82
île ;îlot;23;5.43;2;10;1.86;0.52;-3;2;1.50;2.78;-1;3;0.83
Inde ;pays;24;8.17;5;12;1.95;0.50;-3;3;1.63;2.54;-3;3;1.41
ion;;21;14.05;10;16;1.73;0.57;-2;3;1.43;1.76;-3;3;1.77
ira ;aller;22;6.77;3;10;2.04;0.41;-3;2;1.56;2.77;1;3;0.52
IRA ;branche armée Irlande;25;15.60;6;24;3.22;0.72;-2;3;1.46;1.64;-3;3;1.98
irai ;aller;24;5.88;2;10;1.99;0.17;-2;3;1.62;2.92;2;3;0.28
irrite ;exaspération;23;9.87;3;15;2.98;-0.17;-3;2;1.66;2.48;-2;3;1.10
irrite ;inflammation;13;8.92;4;13;2.76;-0.62;-3;2;1.73;2.69;1;3;0.61
jais ;pierre noire;13;12.38;8;17;2.90;-0.38;-3;2;1.73;1.38;-3;3;2.06
jaloux;;18;6.89;3;10;2.26;0.67;-3;2;1.73;2.78;1;3;0.53
jarre ;vase;23;9.22;5;13;2.15;0.57;-2;3;1.64;2.35;-3;3;1.34
jars ;animal;21;10.19;5;17;3.05;-0.24;-3;2;1.57;1.19;-3;3;1.97
jatte ;récipient;21;10.43;4;17;3.39;0.00;-3;3;1.66;1.67;-3;3;1.86
jauge ;mesure;16;13.00;8;18;3.64;0.06;-3;2;1.68;1.94;-2;3;1.48
Jaune ;asiatique;18;11.44;6;16;2.99;-0.50;-2;3;1.30;1.72;-3;3;1.94
jaune ;couleur;17;3.71;1;6;1.32;0.65;-3;3;1.64;2.94;2;3;0.24
je ;je tu il;14;4.36;1;10;2.79;1.21;-1;3;1.32;2.50;-3;3;1.55
jet ;jeter;23;6.48;2;10;2.22;0.09;-2;3;1.59;2.35;-1;3;1.20
jeu ;divertissement;19;3.53;1;6;1.31;1.63;-1;3;1.31;2.95;2;3;0.22
jeu ;mécanique;25;8.28;3;15;4.08;0.60;-3;3;1.67;2.44;1;3;0.64
jeûne ;alimentation;25;9.68;6;14;2.34;0.04;-3;3;1.71;1.96;-2;3;1.61
joie;;23;5.96;3;9;1.40;0.09;-3;3;1.69;2.96;2;3;0.20
joint ;marijuana;18;14.06;6;20;2.97;0.89;-2;2;1.37;2.61;-1;3;0.95
joint ;raccordement;21;9.95;5;17;3.34;-0.62;-3;3;1.59;2.52;-2;3;1.14
joue ;visage;19;4.16;2;8;1.66;0.84;-2;3;1.46;2.89;1;3;0.45
jouet;;23;3.35;1;7;1.58;0.48;-2;3;1.69;2.70;-1;3;0.91
jour ;durée;21;4.48;1;8;1.68;0.52;-2;3;1.30;3.00;3;3;0.00
jour ;luminosité;18;3.83;1;8;1.77;0.44;-2;3;1.83;3.00;3;3;0.00
joute ;lutte;20;12.05;7;16;2.99;-0.10;-3;3;1.64;1.85;-3;3;1.80
juge;;17;7.65;5;12;1.78;-0.12;-3;2;1.53;2.71;-1;3;0.96
juin;;18;5.61;2;7;1.34;0.28;-3;2;1.59;2.94;2;3;0.23
jus ;électricité;22;11.05;4;16;3.43;-0.27;-2;2;1.68;2.36;-2;3;1.19
jus ;liquide;18;4.89;2;9;1.56;0.33;-2;3;1.67;2.94;2;3;0.23
krach ;bourse;19;13.47;6;18;3.39;0.79;-2;3;1.51;2.16;-3;3;1.56
la ;adverbe;18;4.28;2;9;1.88;0.89;-2;3;1.66;2.94;2;3;0.23
la ;musique;20;6.00;2;11;2.88;0.90;-3;3;1.97;2.60;-2;3;1.16
lace ;laçage;15;5.73;3;9;1.81;1.07;-1;3;1.39;2.73;2;3;0.44
laie ;animal;18;10.94;6;19;3.67;0.33;-3;3;1.80;1.72;-3;3;1.85
laine ;fibre;17;5.88;3;10;2.11;0.41;-2;3;1.57;2.65;-1;3;1.03
laisse ;corde;19;5.26;3;7;1.21;0.32;-2;2;1.52;2.47;-1;3;0.99
laisse ;laisser;20;5.05;2;10;2.16;0.50;-3;3;1.88;3.00;3;3;0.00
lait ;boisson;25;3.24;1;6;1.36;1.24;-3;3;1.50;2.84;1;3;0.54
lame ;arme;18;7.56;4;13;2.54;0.17;-2;3;1.50;2.83;2;3;0.37
lame ;plaque;18;10.22;5;16;3.78;-1.22;-3;2;1.31;1.78;-3;3;1.58
lame ;vague;12;11.42;7;16;3.07;-0.33;-3;2;1.60;1.83;-3;3;1.86
lance ;arme;15;8.27;4;12;2.17;-0.07;-3;2;1.65;2.40;-1;3;1.36
lance ;lancer;15;4.67;2;8;1.66;0.53;-3;3;1.82;2.67;1;3;0.70
lance ;tuyau;22;8.45;4;14;2.76;0.32;-2;2;1.46;2.45;-2;3;1.30
lande ;végétation, garrigue;26;12.04;6;19;3.45;0.58;-2;3;1.69;1.92;-2;3;1.38
landes ;littoral, département;22;11.14;5;17;2.97;0.14;-3;3;1.79;2.14;-1;3;1.10
larbin;;13;11.46;6;16;3.27;0.31;-2;2;1.59;1.77;-2;3;1.58
lard ;viande;18;6.78;3;16;3.31;0.72;-2;2;1.41;2.61;1;3;0.68
large ;largesse;19;8.58;3;16;4.15;-0.32;-3;2;1.69;2.63;1;3;0.74
large ;largeur;21;6.67;2;13;2.73;0.48;-3;3;1.71;2.86;1;3;0.47
largesse ;générosité;22;12.14;7;19;3.25;0.41;-2;3;1.56;2.18;-2;3;1.37
lasse, las ;lassitude;22;9.41;4;15;3.07;-0.09;-3;2;1.86;2.09;-3;3;1.70
lave ;laver;22;4.50;2;14;3.23;0.95;-2;3;1.40;2.86;1;3;0.46
lave ;volcan;17;7.18;4;10;1.82;1.41;-2;3;1.50;2.71;-1;3;0.96
leader ;meneur;19;12.58;8;15;2.14;0.47;-3;3;1.39;2.58;-1;3;0.99
lemme ;form. canonique d'1 mot;15;22.07;14;30;4.92;1.40;-3;3;1.70;-0.40;-3;3;2.27
lent ;lenteur;18;6.00;2;10;2.29;0.06;-3;3;1.54;2.78;2;3;0.42
les ;pronom pers.;25;4.44;2;11;2.23;0.40;-3;3;1.96;3.00;3;3;0.00
leur ;sien;21;6.38;3;13;2.48;0.38;-1;3;1.29;2.86;2;3;0.35
leurre ;tromper;17;11.71;7;16;2.72;0.18;-2;2;1.54;2.47;-2;3;1.19
lice ;compétition;20;13.95;8;20;3.94;0.10;-3;3;1.95;1.70;-3;3;1.76
licence ;diplôme;19;14.79;10;20;3.02;0.58;-2;3;1.66;2.74;1;3;0.55
licence ;permis;16;12.69;8;18;3.80;-0.13;-3;3;2.03;2.50;1;3;0.61
lie ;dépôt;17;12.59;7;16;2.57;0.18;-3;2;1.58;2.47;-1;3;1.09
lien;;14;7.86;3;14;2.75;-0.71;-3;2;1.53;2.64;1;3;0.72
lieu ;endroit;21;6.62;4;10;1.56;0.24;-2;3;1.60;2.71;1;3;0.63
lieu ;poisson;26;12.00;5;20;4.01;0.35;-3;3;1.66;2.46;-1;3;0.93
lieue ;distance;14;9.21;4;15;3.10;0.79;-2;2;1.21;2.21;-3;3;1.57
lima ;limer;27;9.59;5;14;2.56;-0.22;-3;2;1.45;2.37;-2;3;1.16
Lima ;ville Pérou;23;12.22;7;20;3.82;0.35;-3;3;1.60;1.83;-3;3;2.06
limbes;;20;14.35;5;21;4.07;0.55;-3;3;1.63;1.20;-3;3;2.11
lime ;outil;26;7.54;4;15;2.44;0.69;-3;3;1.66;2.54;-2;3;1.08
lin ;plante;17;11.71;6;20;4.10;-0.06;-3;3;1.73;2.35;-2;3;1.45
lin ;textile;18;10.72;5;15;2.72;-0.11;-3;3;2.02;2.11;-3;3;1.63
lion ;animal;21;3.90;2;6;0.97;1.05;-3;3;1.53;2.90;1;3;0.43
lion ;constellation;16;11.56;6;17;2.67;0.25;-2;3;1.48;1.25;-2;3;2.02
lisse ;poli;20;7.10;2;15;3.43;0.20;-3;3;1.89;2.45;-3;3;1.40
lit ;couche;19;3.37;2;6;1.22;0.79;-2;3;1.58;3.00;3;3;0.00
lit ;fleuve;20;8.35;4;15;2.74;0.40;-2;3;1.36;2.35;-2;3;1.49
