Word;Sens précis;N;AoA.Moy;AoA.Min;AoA.Max;AoA.ET;CertAge.Moy;CertAge.Min;CertAge.Max;CertAge.ET;FamConcept.Moy;FamConcept.Min;Max;FamConcept.ET
balle ;munition;17;6.18;2;9;2.09;0.24;-2;3;1.52;2.12;-2;3;1.78
ban ;condamnation;16;14.44;7;21;3.76;-0.25;-3;2;1.85;1.38;-3;3;1.96
banane ;fruit;22;5.45;2;14;2.76;1.05;-1;3;1.22;2.95;2;3;0.21
banc ;poisson;28;9.32;3;14;2.65;0.39;-3;3;1.61;2.54;-3;3;1.24
banc ;sable;16;9.19;4;13;2.53;-0.06;-3;3;1.71;2.38;-1;3;1.11
banc ;siège;21;5.05;1;14;2.80;0.67;-2;3;1.61;2.62;-1;3;1.00
banlieue ;périphérie;22;11.23;6;15;2.86;0.73;-3;3;1.54;2.82;1;3;0.49
bar ;établissement;13;9.08;5;14;2.49;0.92;-2;2;1.14;2.85;2;3;0.36
bar ;poisson;25;13.16;7;25;4.08;-0.20;-3;3;1.94;2.12;-3;3;1.34
bar ;unité de pression;22;14.05;7;18;2.55;1.14;-2;3;1.36;2.18;-2;3;1.50
barbe;;26;4.65;2;8;1.57;0.62;-2;3;1.36;2.69;-1;3;0.87
barbiche;;22;6.95;4;17;3.40;0.82;-3;3;1.47;2.00;-2;3;1.62
barda ;chargement;29;12.97;4;26;5.80;0.48;-3;3;1.83;1.45;-3;3;2.28
barde ;poète celte;23;12.35;6;20;3.61;0.57;-3;3;1.88;1.48;-3;3;2.24
barde ;tranche de lard;19;14.47;5;26;6.32;-0.37;-3;3;1.90;0.37;-3;3;2.41
barre ;tige;22;7.00;3;14;2.91;0.14;-3;2;1.79;2.50;1;3;0.78
bas ;partie inférieure;16;4.31;1;7;1.69;0.63;-1;3;1.36;2.94;2;3;0.24
bas ;vêtement féminin;22;8.95;2;15;3.86;0.32;-3;3;1.87;2.50;-1;3;0.99
basse ;instrument;24;12.88;7;16;2.24;0.83;-2;3;1.37;2.00;-1;3;1.32
batte ;base-ball;22;12.59;7;20;4.41;0.59;-3;3;1.61;1.86;-3;3;1.82
biais ;distorsion;18;12.39;7;19;3.06;-0.11;-2;3;1.56;2.39;-1;3;1.01
biais ;moyen;22;11.95;7;18;3.25;-0.41;-3;2;1.67;2.32;-2;3;1.18
biche ;animal;18;6.00;4;9;1.20;1.00;-2;3;1.63;2.56;-3;3;1.38
bien ;possession;25;10.44;4;16;2.73;0.20;-2;2;1.30;2.76;1;3;0.59
bien ;qualité;21;4.19;2;12;2.11;0.67;-3;3;1.75;2.95;2;3;0.21
bière ;boisson;14;7.86;5;12;2.23;-0.36;-3;2;1.80;2.86;1;3;0.52
bière ;cercueil;19;12.37;7;16;2.62;0.58;-3;3;1.46;1.53;-3;3;1.87
blé ;argent;21;12.90;7;18;2.89;0.24;-3;2;1.69;2.14;-2;3;1.25
blé ;céréale;22;7.09;4;14;2.43;0.95;-2;3;1.40;2.59;-1;3;1.15
blouse ;veste;25;7.44;2;13;3.01;0.60;-3;3;1.65;2.68;-1;3;0.84
blouson;;20;8.15;3;18;3.72;0.05;-2;3;1.66;2.70;1;3;0.56
blues ;mélancolie;26;13.54;7;20;2.91;0.35;-3;3;1.52;2.38;-1;3;1.15
blues ;musique;22;12.64;5;20;3.32;0.59;-3;3;1.83;2.50;1;3;0.72
bois ;corne;21;8.52;3;17;3.17;0.14;-3;3;1.73;1.86;-3;3;1.88
bois ;forêt;21;4.57;2;7;1.22;0.76;-3;3;1.74;3.00;3;3;0.00
bois ;matière;20;3.85;2;8;1.59;0.85;-3;3;1.77;2.95;2;3;0.22
bonne ;agréable;19;4.95;2;11;2.24;0.74;-3;2;1.41;3.00;3;3;0.00
bonne ;domestique;21;8.14;2;13;2.66;0.43;-3;3;1.73;2.57;-2;3;1.14
bouc ;animal;19;7.79;4;12;2.53;0.68;-2;3;1.81;2.11;-2;3;1.41
bouc ;barbiche;20;8.85;3;18;3.97;0.20;-3;3;1.86;2.85;1;3;0.48
boue ;terre;21;4.90;2;15;2.62;1.19;-1;3;1.18;2.95;2;3;0.21
bouée ;flotteur;21;5.86;3;10;1.93;0.86;-3;3;1.55;2.57;-1;3;1.18
bouquin;;24;8.25;3;15;2.65;0.75;-3;3;1.56;2.92;2;3;0.28
bout ;extrémité;22;5.32;2;10;2.10;0.86;-2;3;1.25;2.82;2;3;0.39
bout ;morceau;20;4.50;2;10;2.27;1.00;-3;3;1.73;2.85;2;3;0.36
boutique;;19;7.11;4;10;1.55;-0.32;-2;2;1.30;2.89;2;3;0.31
bracelet ;bijou;20;5.15;3;9;1.42;0.85;-2;3;1.31;2.85;1;3;0.48
bras ;anatomie;29;3.69;1;7;1.34;1.41;-3;3;1.50;2.93;2;3;0.25
brasse ;brassée;16;7.13;4;12;1.87;0.25;-3;3;1.89;2.50;-1;3;1.06
brasse ;nage;18;7.39;4;12;2.16;1.22;-1;3;1.31;2.44;-1;3;1.01
bricole ;bricoler;19;5.95;1;10;2.95;0.00;-3;3;1.72;2.58;-1;3;0.99
bricole ;futilité;16;8.56;3;15;3.06;-0.50;-2;3;1.41;2.44;-1;3;1.12
brie ;fromage;21;11.57;5;18;3.86;0.48;-3;3;1.71;2.43;-2;3;1.18
Brig ;ville CH;16;19.81;6;40;10.92;1.00;-3;3;2.09;0.31;-3;3;2.93
brigade ;équipe, unité;21;12.38;7;18;3.20;-0.29;-3;3;1.96;2.43;-2;3;1.18
brigue ;convoiter;16;13.69;8;18;2.89;0.06;-3;3;1.71;1.75;-3;3;1.92
brique ;argent;19;10.58;5;15;3.41;0.05;-3;3;1.57;1.53;-3;3;1.82
brique ;maçonnerie;24;6.63;3;13;2.36;0.29;-3;3;1.57;2.42;-3;3;1.44
bris ;rupture;23;13.09;7;23;4.90;-0.48;-3;3;1.79;1.17;-3;3;2.39
brise ;vent;28;8.57;3;14;2.80;0.14;-3;2;1.46;2.43;-1;3;1.12
bronze ;alliage;21;9.29;6;15;2.78;0.67;-3;3;1.61;2.24;-1;3;1.38
bru ;belle-fille;24;13.08;7;23;4.76;0.71;-2;3;1.46;1.13;-3;3;2.24
bruit;;16;4.31;2;8;1.86;0.06;-2;2;1.75;2.94;2;3;0.24
buée;;20;6.45;3;14;2.92;0.20;-2;2;1.57;2.75;1;3;0.62
bulle ;globule;11;7.36;2;16;4.35;-0.45;-3;2;1.83;1.64;-3;3;2.10
bulle ;une enceinte;22;11.64;4;23;5.45;-0.14;-3;3;1.96;1.73;-3;3;1.98
but ;destination;17;8.65;3;15;2.85;0.00;-2;2;1.37;2.71;1;3;0.57
butte ;colline;22;9.05;3;15;3.05;0.00;-3;3;1.81;2.27;-2;3;1.21
caisse ;argent;23;8.52;4;12;2.20;0.39;-2;3;1.71;2.43;-1;3;1.21
caisse ;boite;23;5.22;2;8;1.69;0.13;-3;3;1.57;2.74;1;3;0.61
caisse ;véhicule;26;12.88;7;20;3.33;0.35;-3;3;1.69;2.42;-2;3;1.08
cal ;callosité;15;16.60;10;25;4.26;0.53;-2;3;1.82;1.33;-3;3;2.15
calcium;;17;10.88;7;16;2.91;0.06;-2;2;1.16;2.82;1;3;0.51
cale ;navire;21;9.33;3;17;3.60;0.05;-3;2;1.89;1.86;-3;3;1.70
cale ;pour immobiliser;20;10.50;5;18;3.19;0.05;-3;3;1.63;1.95;-2;3;1.66
calice ;botanique;16;16.19;10;26;4.81;1.00;-3;3;1.84;-0.25;-3;3;2.80
calice ;coupe;24;10.75;6;16;2.99;0.79;-3;3;1.63;1.75;-3;3;1.74
calvaire ;épreuve;27;10.11;5;16;3.22;0.04;-3;3;1.88;2.44;-1;3;0.96
camp ;campement;26;7.31;5;12;2.00;0.62;-2;3;1.47;2.58;-2;3;1.08
cane ;canard;18;7.06;4;10;1.78;0.50;-2;2;1.38;2.61;-1;3;0.95
caneton ;canard;24;7.38;4;15;3.24;-0.21;-3;2;1.63;2.04;-3;3;1.70
canne ;béquille;23;6.48;3;10;2.08;0.57;-3;3;1.47;2.61;-1;3;0.92
canne ;tige, végétal;17;9.12;6;15;2.81;-0.18;-3;2;1.69;1.82;-2;3;1.65
cannelure ;rainure;19;13.47;8;19;3.76;0.74;-3;3;1.65;0.74;-3;3;2.07
cap ;direction;16;10.44;8;15;2.40;0.38;-2;2;1.27;1.88;-2;3;1.65
cap ;étape;25;11.56;6;17;2.73;-0.40;-2;2;1.30;2.28;-2;3;1.18
cap ;mer;23;10.91;7;15;1.95;0.04;-3;3;1.68;2.13;-2;3;1.33
cape ;manteau;21;7.57;3;13;2.36;0.19;-3;3;1.76;2.57;-1;3;0.95
capsule ;couvercle;14;8.00;3;15;3.21;-0.14;-3;2;1.68;2.79;1;3;0.56
capsule ;navette;13;10.08;5;18;3.75;1.08;-2;3;1.44;2.85;2;3;0.36
capuche;;15;6.33;3;14;3.16;0.60;-2;3;1.70;2.13;-1;3;1.59
car ;autobus;21;5.48;2;10;2.06;0.71;-3;3;1.78;2.90;2;3;0.29
carbone;;26;11.73;7;18;3.01;0.73;-3;2;1.58;2.46;-1;3;0.93
carlingue;;18;12.17;8;18;3.37;0.61;-2;3;1.57;1.39;-3;3;2.16
carre ;ski;20;13.00;5;23;5.39;1.05;-3;3;1.66;1.00;-3;3;2.12
cartouche ;cigarettes;21;12.52;5;20;4.24;0.71;-2;3;1.52;2.57;-1;3;1.00
cartouche ;hiéroglyphe;26;13.50;5;26;5.27;0.35;-3;3;1.86;1.81;-3;3;1.75
cartouche ;munition;19;8.37;5;12;2.34;-0.11;-3;2;1.59;2.32;-3;3;1.69
cas ;situation;20;9.90;6;16;3.22;-0.05;-3;2;1.50;2.80;1;3;0.51
case ;casier;18;7.22;2;13;2.72;0.72;-2;2;1.28;2.17;-2;3;1.46
case ;hutte;19;8.89;4;15;2.88;-0.21;-3;2;1.70;2.11;-2;3;1.55
casse ;cambriolage;17;12.41;8;18;3.13;0.18;-2;3;1.58;2.29;-1;3;1.27
casse ;destruction;25;9.08;4;15;3.26;-0.08;-3;2;1.67;2.64;-2;3;1.05
cause ;idéal;18;11.83;6;15;2.59;0.22;-3;3;1.99;2.61;-1;3;0.95
cause ;origine;17;8.65;2;15;3.55;-0.06;-3;2;1.59;2.88;2;3;0.32
cent ;100;25;5.80;2;9;1.52;0.76;-3;3;1.58;2.84;1;3;0.46
cerf ;animal;15;6.80;4;11;2.51;0.33;-2;2;1.45;1.93;-3;3;2.02
cerfeuil;;22;10.91;5;17;3.46;0.50;-3;2;1.56;1.55;-3;3;1.88
cette - cet ;adj.;26;5.42;2;8;1.78;0.04;-2;2;1.58;3.00;3;3;0.00
chai ;vin;24;19.54;8;28;6.50;0.96;-3;3;1.93;-0.17;-3;3;2.73
chaise;;25;3.72;2;6;1.48;0.72;-2;3;1.61;3.00;3;3;0.00
châle;;21;8.29;4;16;2.75;0.24;-3;3;2.00;2.52;-2;3;1.33
chaloupe ;embarcation;21;11.14;5;20;4.05;0.24;-3;2;1.77;1.90;-3;3;1.60
chamelle;;16;11.19;6;16;2.90;0.44;-3;3;1.66;1.88;-3;3;2.06
chamois ;animal;20;8.80;4;13;2.50;-0.20;-3;2;1.69;2.10;-3;3;1.67
champ ;étendue;19;6.37;3;12;2.32;0.16;-3;2;1.72;2.68;-1;3;0.98
chance;;19;5.47;2;12;2.23;0.11;-2;2;1.45;2.84;1;3;0.49
chant ;musique;18;4.67;3;9;1.63;0.39;-3;3;1.80;2.83;1;3;0.50
char ;véhicule;20;7.60;3;10;2.08;0.05;-3;3;1.63;2.30;-3;3;1.55
chargeur ;batterie;20;12.20;7;18;2.96;0.40;-3;2;1.46;2.45;-2;3;1.20
chargeur ;munition;14;10.14;6;18;3.02;-0.14;-2;2;1.51;1.93;-2;3;1.75
charpente ;structure;16;8.50;4;13;2.18;0.56;-2;2;1.41;2.38;1;3;0.86
chas ;aiguille;21;9.24;4;17;3.77;0.71;-2;3;1.52;2.33;-3;3;1.39
chat ;animal;20;3.45;1;5;1.07;0.90;-2;3;1.76;2.85;2;3;0.36
chenal ;passage;26;12.00;7;15;2.20;-0.12;-3;3;1.74;1.62;-3;3;2.02
chevelu;;18;7.50;4;14;2.57;0.11;-2;3;1.56;2.56;-1;3;1.01
chevelure;;22;6.91;4;10;1.81;0.05;-2;2;1.49;2.82;1;3;0.49
choeur ;groupe;24;9.33;5;14;2.30;0.17;-2;3;1.43;2.79;-1;3;0.82
choeur ;nef église;21;10.33;5;18;3.80;0.52;-3;3;1.89;2.24;-2;3;1.15
choix;;26;6.23;3;13;2.42;-0.23;-3;2;1.76;2.96;2;3;0.19
cigogne;;19;7.42;4;14;3.12;0.11;-3;3;1.71;2.42;-2;3;1.14
cil;;23;6.13;3;11;2.29;0.65;-3;3;1.58;2.65;-1;3;1.13
cire ;substance;17;7.06;3;14;3.37;0.18;-3;2;1.69;2.53;-1;3;1.04
classe ;allure;22;11.05;5;16;2.51;0.36;-3;3;1.55;2.59;-2;3;1.11
classe ;catégorie;23;10.26;5;15;3.07;0.30;-3;3;1.63;2.87;2;3;0.34
clavecin;;24;10.21;5;18;3.27;0.63;-2;3;1.49;2.00;-3;3;1.58
clé ;bricolage;21;8.10;2;16;3.57;0.52;-3;3;1.56;2.62;1;3;0.72
clé ;serrure;19;4.84;2;9;1.81;0.37;-3;3;1.75;3.00;3;3;0.00
climat ;ambiance;18;9.94;8;17;2.39;-0.17;-2;2;1.34;2.33;-1;3;1.29
climat ;météorologie;18;8.22;4;11;2.22;-0.33;-3;3;1.67;2.72;-1;3;0.93
clos;;29;9.00;4;13;2.12;-0.28;-3;2;1.46;2.52;-1;3;0.97
code;;23;8.87;5;15;2.31;0.09;-3;3;1.91;2.65;1;3;0.63
coeur ;centre;16;9.19;3;14;2.98;0.00;-2;2;1.46;2.69;1;3;0.58
coeur ;forme;21;4.86;2;8;1.42;0.48;-3;3;1.76;2.71;-1;3;0.93
coeur ;organe;17;6.24;3;16;3.59;0.24;-3;3;1.77;2.47;-3;3;1.46
coeur ;sentiments;17;7.35;4;13;2.45;-0.18;-3;2;1.58;3.00;3;3;0.00
col ;montagne;25;9.56;3;16;3.71;0.36;-2;3;1.47;2.60;-1;3;0.94
col ;vêtement;26;6.08;1;12;2.51;0.27;-2;2;1.48;2.69;1;3;0.67
colle ;collage;21;5.29;2;11;2.45;1.00;-3;3;1.63;2.52;-1;3;0.96
colle ;punition;17;9.94;6;15;2.53;0.41;-3;2;1.42;2.53;-2;3;1.19
colle ;question;23;11.00;7;16;2.34;0.39;-2;3;1.61;2.39;1;3;0.71
colonne;;14;6.71;2;10;2.37;0.07;-3;3;1.91;2.50;1;3;0.82
compte ;quantité;26;7.38;3;12;2.17;0.00;-3;3;1.84;2.88;2;3;0.32
comte ;dignitaire;23;9.00;5;19;3.59;0.61;-3;3;1.41;2.17;-2;3;1.46
con ;imbécile;26;7.38;3;15;2.88;0.73;-3;3;1.95;2.58;1;3;0.79
con ;sexe;22;15.73;6;30;6.43;1.00;-3;3;1.93;1.41;-3;3;2.29
constat ;bilan;21;11.57;7;18;3.17;0.19;-3;3;2.01;2.67;1;3;0.64
conte ;récit;19;4.74;2;8;1.92;0.95;-2;3;1.39;2.53;-2;3;1.19
cor ;callosité;20;12.30;5;18;3.57;-0.20;-3;2;1.40;2.10;-3;3;1.58
cor ;instrument;18;9.56;5;15;3.53;0.61;-1;3;1.38;2.11;-2;3;1.45
corbeille;;20;6.45;3;10;1.66;0.00;-3;2;1.67;2.90;1;3;0.44
corne ;callosité;23;9.17;4;16;3.50;-0.22;-3;2;1.72;2.30;-3;3;1.33
corne ;d'animal;30;5.63;2;10;2.14;0.40;-3;2;1.45;2.60;-2;3;0.99
corneille ;oiseau;21;9.86;4;16;2.87;0.00;-3;3;1.98;2.24;-3;3;1.48
cornet ;récipient conique;16;6.25;2;12;2.66;0.13;-2;3;1.62;1.88;-3;3;1.93
corniche ;surplomb;22;9.95;3;16;3.71;0.18;-2;2;1.43;2.41;-1;3;1.15
corps ;organisme;19;5.53;3;10;2.11;-0.16;-3;3;1.78;2.95;2;3;0.22
cosse ;enveloppe;15;9.60;5;15;3.20;-0.13;-3;2;1.86;2.13;-3;3;1.71
cote ;classement;24;12.13;8;18;2.89;0.33;-3;3;1.80;2.29;-2;3;1.31
cote ;estime;23;12.61;8;18;2.97;-0.13;-3;2;1.73;2.30;-2;3;1.20
cotte ;tunique;18;12.00;6;21;4.90;0.44;-3;3;2.01;1.17;-3;3;2.52
cou ;anatomie;17;4.82;2;10;1.82;1.00;-1;3;1.50;2.82;2;3;0.38
coude ;articulation;11;4.45;2;6;1.44;1.18;-1;3;1.19;2.73;1;3;0.62
coude ;courbure;16;7.31;5;13;2.36;0.63;-2;3;1.62;2.56;-2;3;1.27
coup ;action;21;7.62;2;14;3.42;0.14;-3;3;1.52;2.76;1;3;0.61
coup ;choc;23;6.48;2;13;2.70;0.57;-3;3;1.64;2.61;-3;3;1.28
courage;;15;6.60;4;9;1.40;0.67;-2;2;1.40;2.87;2;3;0.34
cours ;enseignement;32;8.94;4;12;2.30;0.88;-2;3;1.47;2.94;2;3;0.24
cours ;taux;25;13.12;7;18;2.66;0.00;-3;3;1.57;2.28;-3;3;1.25
cours ;trajet, écoulement;26;8.31;4;12;2.38;0.62;-3;3;1.57;2.54;-1;3;0.93
court ;taille;23;5.74;2;10;2.05;0.43;-3;3;1.84;2.91;2;3;0.28
court ;tennis;20;10.05;6;14;2.48;1.10;-1;3;1.26;2.50;1;3;0.74
coût ;prix;20;8.15;3;15;2.94;0.85;-2;3;1.56;2.70;1;3;0.71
coûte ;coûter;13;6.31;3;12;2.33;0.62;-2;3;1.39;2.46;1;3;0.75
coutume;;24;8.63;6;13;1.65;0.25;-3;3;1.71;2.79;1;3;0.50
crac ;bruitage;22;5.86;2;10;2.22;-0.64;-3;2;1.67;2.36;-3;3;1.64
crack ;champion;20;10.20;5;16;3.03;-0.10;-3;2;1.61;2.30;-2;3;1.23
