Appendix C. Spanish base and complex words phonologically opaque;;;;;;;;;;;;;;;;;
;;;;;;;;;;Complex word;;;;;;;
Base words;AoA;Imag;Fr;L;P;S;N;MFS;MFS;Phonologically;AoA;Imag;Fr;L;P;S;N
;;;;;;;;all;Sem.R;Opaque;;;;;;;
hostal (hostel);4.9;5.9;1.5;6;5;2;4;9;7;hospital  (hospital);2.8;7.8;3.8;8;7;3;0
hierro (iron);3.5;6.5;2.7;6;4;2;5;26;26;herrero (blacksmith);4.5;7.2;2;7;5;3;8
huerta (vegetable garden)*;3;6.9;1.7;6;6;2;4;7;7;hortelano (horticulturist);5.7;5.3;0;9;8;4;2
huerta (vegetable garden)*;3;6.9;1.7;6;6;2;4;7;7;horticultura (horticulutre);6.5;5.7;1.2;12;11;5;1
huésped (guest0;4.5;5.3;2.6;7;7;2;0;6;6;hospedaje (lodging);6;5.2;1.6;9;8;4;0
huevo (egg);2.1;7;2.9;5;5;2;7;24;24;oval (oval);5.9;4.6;1.8;4;4;2;8
isla (island);2.6;6.8;3.4;4;4;2;1;13;7;insular (insular);5.5;5;0;7;7;3;2
invierno (winter);2.3;6.3;3;8;8;3;1;15;13;invernal (wintry);4.3;6;1.5;8;8;3;2
juicio (trial);4.9;6;3.5;6;6;2;1;24;6;judicial (judicial);5.4;5.1;2.6;8;8;3;0
joven (young);3.3;6.3;3.8;5;5;2;0;10;7;juventud (youth);4.4;6.3;2.7;8;8;3;0
lágrima (tear);2.2;6.8;2;7;7;3;3;10;6;lacrimal (lacrimal);5.8;6.4;0;8;8;3;2
leche (milk)*;1.5;7;3.3;5;4;2;5;33;33;lactante (baby);6;6.1;0.7;8;8;3;0
leche (milk)*;1.5;7;3.3;5;4;2;5;33;33;láctea (milky0;5.6;5.4;1.9;6;6;3;2
lado (side);2.5;4.6;4.2;4;4;2;15;11;11;lateral (lateral);4.5;6;2.3;7;7;3;1
lenteja (lentil);2.5;6.9;0.5;7;7;3;2;17;15;lenticular (in the form of a lentil);6.8;5.3;0;10;10;4;1
libre (free);3.4;4.2;3.7;5;5;2;3;20;19;liberado (liberated);4.4;5.4;2.5;8;8;4;1
lengua (tongue)*;1.8;6.9;3.2;6;6;2;2;25;25;lingual (lingual0;6.5;5.7;0;7;7;2;0
lengua (tongue)*;1.8;6.9;3.2;6;6;2;2;25;25;lingüista (linguist);6.4;4.7;1.2;9;9;3;0
maestro (teacher)*;2.1;6.1;3.4;7;7;3;2;20;20;magisterio (teaching);5.8;5.1;1.3;10;10;4;0
maestro (teacher)*;2.1;6.1;3.4;7;7;3;2;20;20;magistral (masterly);6.2;4.8;1.3;9;9;3;0
marido (husband);3.5;5.8;3.6;6;6;3;5;12;12;marital (conyugal);6.5;5.1;1.5;7;7;3;1
madre (mother)*;1.4;6.7;4.4;5;5;2;2;30;15;maternal (motherly);4.3;5.6;2;8;8;3;2
madre (mother)*;1.4;6.7;4.4;5;5;2;2;30;15;materno (maternal);4.2;5.3;1.3;7;7;3;2
merienda (afternoon snack);2;6.2;1.8;8;8;3;0;6;6;merendar (to have ‘merienda’);2.2;6.5;1.4;8;8;3;0
mueble (furniture);2.3;6.9;1.9;6;6;2;2;13;8;mobiliario (furniture);5;6.9;1.5;10;10;4;2
muerte (death);3.7;4.6;4;6;6;2;4;24;6;moribundo (dying);4.9;6.8;2.1;9;9;4;1
mover (to move);2.2;5.9;3;5;5;2;1;23;21;motricidad (mobility);6.1;4.5;0.7;10;10;4;0
nadar (to swim);2.4;6.6;3;5;5;2;6;11;11;natación (swimming);2.8;7.1;2.2;8;8;3;4
nacer (to be born);2.9;5.7;2.6;5;5;2;5;15;11;nativo (native);5.5;5;2;6;6;3;4
nacimiento (birth);3.2;5.8;2.9;10;10;4;4;12;12;natalidad  (natality);5.4;5;1.4;9;9;4;0
navidad (Christmas);1.9;6.7;3.7;7;7;3;1;2;2;natividad (nativity);5.6;4.9;1;9;9;4;0
niebla (fog);3.7;6.3;2.4;6;6;2;0;21;9;neblina  (mist);4.3;7.3;1.9;7;7;3;0
noche (night);1.8;6.9;4.6;5;4;2;6;13;13;nocturno (nocturnal);4.4;7;2.8;8;8;3;1
nombrar (to name);3.1;3.9;2.4;7;7;2;2;28;8;nominación (nomination);5.8;4.8;1.9;10;10;4;0
nombre (name);1.8;4.8;4.3;6;6;2;1;27;18;nómina (payroll);6.3;5.1;2;6;6;3;2
nuevo (new);2.3;5.1;4.4;5;5;2;5;11;11;novedad (novelty);4.7;5.2;2.6;7;7;3;0
nueve (nine);1.8;6.6;3.4;5;5;2;3;6;6;noveno (ninth);3.4;6;2.2;6;6;3;0
ocho (eight);1.9;6.5;3.6;4;3;2;3;6;6;octavo (eigth);3.9;5.1;2.4;6;6;3;3
ojo (eye);1.6;7;3.4;3;3;2;5;21;21;oculista (opthalmologist);4;7.2;1.5;8;8;4;0
ofrecer (to offer);4.2;4.7;2.8;7;7;3;0;10;10;oferta (offer);4.2;5.9;3.3;6;6;3;0
parto (delivery);4.7;6.5;2.7;5;5;2;15;38;29;paritorio (delivery room);5.8;6.9;0;9;9;4;1
padre (father);1.4;6.6;4.5;5;5;2;2;29;14;paterno (paternal);4.1;5.5;1.5;7;7;3;2
pecho (chest);2.7;6.9;3.2;5;4;2;10;34;32;pectoral (pectorals);5.5;7.1;1.1;8;8;3;2
pie (foot)*;1.5;7;3.6;3;3;1;4;31;31;pedicura (chiropody);5.6;7.1;1.6;8;8;4;2
piel (skin);2.6;6.8;3.4;4;4;1;6;15;15;peletero (furrier);6.5;6;0;8;8;4;6
pintura (paint);1.9;6.6;3.2;7;7;3;5;14;14;pictórico (pictorial);6.6;5.2;0;9;9;4;1
pez (fish);1.7;7;3;3;3;1;7;8;8;piscis (pisces);4.3;5.3;1.7;6;6;2;0
pliego (sheet);5.6;4.2;0.6;6;6;2;1;12;10;plegable (folding);4.9;6.4;1.4;8;8;3;0
pueblo (village);2.8;6.5;3.8;6;6;2;2;31;30;poblado (village);4;6.9;1.9;7;7;3;4
pie (foot)*;1.5;7;3.6;3;3;1;4;31;31;podólogo (chiropodist);6.1;6.7;1.2;8;8;4;2
puerco (pig);3.6;6.4;2.3;6;6;2;4;20;18;porquero (swineherd);6.5;6.3;0;8;7;3;2
puerta (door);1.8;6.9;4.1;6;6;2;6;25;25;portal (front door);4;7.3;2.7;6;6;2;7
poder (power);3.8;3.9;4.1;5;5;2;3;15;15;potente (powerful);4.9;5.1;2.3;7;7;3;2
prisión (prision);4;6.7;3.6;7;7;2;1;21;4;preso (prisoner);4.1;7.4;2.9;5;5;2;5
pudrir (to rot);4.3;5.2;1.2;6;6;2;3;13;13;putrefacto (putrid);5.9;6.4;1.3;10;10;4;1
riñón (kidney);4.5;6.4;2.5;5;5;2;4;5;5;renal (renal);6.5;4.8;2.2;5;5;2;9
siervo (servant);4.1;6.2;1.7;6;6;2;4;14;4;servil (servile);6.5;4.8;1.5;6;6;2;3
selva (jungle);3;6.8;2.8;5;5;2;4;7;7;silvestre (wild);4.8;5.8;2;9;9;3;0
suelo (floor);1.9;6.8;3.5;5;5;2;9;20;20;solar (plot);4.2;6.1;2.8;5;5;2;16
sueldo (salary);4.9;5;2.7;6;6;2;3;18;9;sólido (solid);4.4;6.8;0;6;6;3;4
toro (bull)*;2.5;7;2.7;4;4;2;20;30;13;tauro (taurus);4.2;5.2;1.2;5;5;2;4
toro (bull)*;2.5;7;2.7;4;4;2;20;30;13;tauromaquia (bullfighting);6.8;5.7;0;11;10;4;0
tienda (shop);2.6;6.6;3.6;6;6;2;3;21;21;tendero (shopkeeper);4.6;7.1;1.4;7;7;3;3
